anschluss_token,direction,other_token,transition_count,source_count,sources,anschluss_quality,anschluss_role,anschluss_zone,other_family,other_role,other_zone,other_records,other_avg_rekopplung,other_avg_strain,other_center_share,other_open_share,other_rand_share,path_reading
dio_mcm_episode_0e7qvj1,outgoing,dio_mcm_episode_1hdpu9s,176,5,"865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,939_MCM_VERDICHTUNGSZONEN_SECHSTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,stabile_bedeutungsinsel,7,0.706407,0.152564,0.826746,0.166146,0.007108,anschluss_zu_zentrum
dio_mcm_episode_0e7qvj1,incoming,dio_mcm_episode_0mji3u6,170,7,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,939_MCM_VERDICHTUNGSZONEN_SECHSTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,hoeherer_cluster_uebergang,7,0.693935,0.159177,0.689851,0.304813,0.005336,anschluss_zu_uebergang
dio_mcm_episode_0e7qvj1,incoming,dio_mcm_episode_1hdpu9s,162,5,"865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,939_MCM_VERDICHTUNGSZONEN_SECHSTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,stabile_bedeutungsinsel,7,0.706407,0.152564,0.826746,0.166146,0.007108,anschluss_zu_zentrum
dio_mcm_episode_0e7qvj1,outgoing,dio_mcm_episode_1jwnjz4,113,6,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,rekopplungszone,6,0.714066,0.150055,0.876818,0.117149,0.006033,anschluss_zu_rekopplung
dio_mcm_episode_0e7qvj1,incoming,dio_mcm_episode_1jwnjz4,98,6,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,rekopplungszone,6,0.714066,0.150055,0.876818,0.117149,0.006033,anschluss_zu_rekopplung
dio_mcm_episode_0e7qvj1,incoming,dio_mcm_episode_0z748ck,87,5,"865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,939_MCM_VERDICHTUNGSZONEN_SECHSTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_155c,zentrum_stabil,rekopplungszone,7,0.703432,0.157417,0.760294,0.23817,0.001536,anschluss_zu_rekopplung
dio_mcm_episode_0e7qvj1,outgoing,dio_mcm_episode_0mji3u6,85,7,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv,928_MCM_VERDICHTUNGSZONEN_FUENFTE_WELTGRUPPE_TRANSITIONS.csv,939_MCM_VERDICHTUNGSZONEN_SECHSTE_WELTGRUPPE_TRANSITIONS.csv,949_MCM_VERDICHTUNGSZONEN_SIEBTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,hoeherer_cluster_uebergang,7,0.693935,0.159177,0.689851,0.304813,0.005336,anschluss_zu_uebergang
dio_mcm_episode_0e7qvj1,outgoing,dio_mcm_episode_18l3thm,60,4,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,stabile_bedeutungsinsel,5,0.712835,0.146426,0.887823,0.110468,0.001708,anschluss_zu_zentrum
dio_mcm_episode_0e7qvj1,incoming,dio_mcm_episode_18l3thm,49,4,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv",rekoppelnder_anschlussraum,zentrum_stabil,hoeherer_cluster_uebergang,dio_104t,zentrum_stabil,stabile_bedeutungsinsel,5,0.712835,0.146426,0.887823,0.110468,0.001708,anschluss_zu_zentrum
dio_mcm_episode_1q3us3f,incoming,dio_mcm_episode_18l3thm,38,4,"854_MCM_VERDICHTUNGSZONEN_TRANSITIONS.csv,855_MCM_VERDICHTUNGSZONEN_FRISCHE_WELTGRUPPE_TRANSITIONS.csv,865_MCM_VERDICHTUNGSZONEN_WEITERE_WELTGRUPPE_TRANSITIONS.csv,917_MCM_VERDICHTUNGSZONEN_VIERTE_WELTGRUPPE_TRANSITIONS.csv",zentrumsnaher_anschlussraum,zentrum_stabil,rekopplungszone,dio_104t,zentrum_stabil,stabile_bedeutungsinsel,5,0.712835,0.146426,0.887823,0.110468,0.001708,anschluss_zu_zentrum
