label,group_hint,reactivation_class,touched_role_count,combination_trace_count,active_role_set_count,roles_reactivated,full_reactivated_combos,partial_reactivated_combos,role_reactivation_ratio,combo_full_reactivation_ratio,combo_partial_ratio,real_a_field_roles,field_carried_roles,field_strained_roles,field_strained_role_ratio,episode_state_carried,episode_state_strained,effect_stabil,effect_tragend_unruhig,effect_kippend,effect_gespannt,real_a_symbols,real_a_afterimage,real_a_rekopplung,real_a_carry,real_a_strain,real_a_sensory,real_a_neuro_balance,real_a_neuro_load,data_path
synth_rand_kipp_2000_start0_multirole_repro,synthetisch_breit,selektiv_breit,5,10,9,4,6,4,0.8,0.6,0.4,5,3,2,0.4,1992,2,1673,319,0,2,109,0.641185,0.734612,0.580908,0.135257,0.885301,0.469242,0.0533,data\scan_synth-rand-kipp_start0_size2000.csv
ruhig_sideways_2000_start6000_transition_repro,real_fokussiert,voll_fokussiert,3,3,3,3,3,0,1.0,1.0,0.0,3,2,1,0.3333333333333333,1993,1,1557,420,16,1,330,0.148094,0.694806,0.512023,0.15691,0.839783,0.334101,0.095272,data\scan_ruhig-sideways-2026_start6000_size2000.csv
expansion_positiv_2000_start2000_transition_repro,real_fokussiert,voll_fokussiert,3,3,3,3,3,0,1.0,1.0,0.0,3,2,1,0.3333333333333333,1993,1,1603,366,24,1,358,0.143955,0.695816,0.51115,0.155294,0.843251,0.330787,0.096184,data\scan_expansion-positiv-2023_start2000_size2000.csv
