1738368000000000,0.32890000,0.32891000,0.32763000,0.32810000,1158612.00000000,1738368299999999,380270.72662000,4514,611741.00000000,200767.00289000,0
1738368300000000,0.32811000,0.32961000,0.32796000,0.32961000,1035058.00000000,1738368599999999,340218.18880000,3304,586539.00000000,192841.03441000,0
1738368600000000,0.32961000,0.32989000,0.32916000,0.32979000,5344785.00000000,1738368899999999,1761029.57542000,4235,3659701.00000000,1205887.45981000,0
1738368900000000,0.32979000,0.33009000,0.32912000,0.32933000,4545762.00000000,1738369199999999,1499294.49142000,4647,3199641.00000000,1055397.77630000,0
1738369200000000,0.32933000,0.32948000,0.32900000,0.32912000,659221.00000000,1738369499999999,217015.42356000,2823,288170.00000000,94869.46932000,0
1738369500000000,0.32911000,0.32922000,0.32805000,0.32816000,1347323.00000000,1738369799999999,442776.92370000,2233,672990.00000000,221166.82750000,0
1738369800000000,0.32817000,0.32910000,0.32784000,0.32897000,1315143.00000000,1738370099999999,431797.62405000,3386,348616.00000000,114530.06904000,0
1738370100000000,0.32896000,0.32950000,0.32870000,0.32941000,544236.00000000,1738370399999999,179141.87517000,1987,219120.00000000,72132.66330000,0
1738370400000000,0.32940000,0.32951000,0.32883000,0.32912000,1176079.00000000,1738370699999999,387128.95398000,2768,721540.00000000,237506.62045000,0
1738370700000000,0.32911000,0.32978000,0.32886000,0.32933000,1086380.00000000,1738370999999999,357869.52893000,2911,716251.00000000,235945.13685000,0
1738371000000000,0.32933000,0.32942000,0.32857000,0.32876000,1477693.00000000,1738371299999999,485944.00778000,3251,614078.00000000,201896.13054000,0
1738371300000000,0.32875000,0.32959000,0.32859000,0.32935000,1313935.00000000,1738371599999999,432641.10406000,2646,673626.00000000,221814.42912000,0
1738371600000000,0.32934000,0.33050000,0.32911000,0.33001000,1830297.00000000,1738371899999999,604116.35401000,5250,1167663.00000000,385380.64089000,0
1738371900000000,0.33001000,0.33031000,0.32953000,0.33019000,1309529.00000000,1738372199999999,432021.66286000,6846,906981.00000000,299216.82133000,0
1738372200000000,0.33018000,0.33018000,0.32950000,0.32985000,1306807.00000000,1738372499999999,430959.07895000,2542,936134.00000000,308687.60682000,0
1738372500000000,0.32984000,0.33004000,0.32939000,0.32957000,923991.00000000,1738372799999999,304776.36485000,2697,160079.00000000,52785.06186000,0
1738372800000000,0.32957000,0.33010000,0.32925000,0.33000000,1441904.00000000,1738373099999999,475331.61821000,2300,1139525.00000000,375657.65042000,0
1738373100000000,0.33001000,0.33075000,0.32980000,0.33066000,1366755.00000000,1738373399999999,451616.96371000,2848,878618.00000000,290346.71854000,0
1738373400000000,0.33067000,0.33134000,0.33054000,0.33122000,1948586.00000000,1738373699999999,645064.24941000,4844,825596.00000000,273258.42123000,0
1738373700000000,0.33123000,0.33200000,0.33123000,0.33141000,1553048.00000000,1738373999999999,515177.71697000,4049,1127672.00000000,374088.05823000,0
1738374000000000,0.33141000,0.33201000,0.33138000,0.33180000,1999944.00000000,1738374299999999,663497.48700000,3286,747294.00000000,247888.22599000,0
1738374300000000,0.33180000,0.33208000,0.33045000,0.33059000,1453400.00000000,1738374599999999,481186.51445000,4670,464786.00000000,153887.09336000,0
1738374600000000,0.33060000,0.33178000,0.33057000,0.33139000,2585031.00000000,1738374899999999,856437.71395000,3124,1573115.00000000,520985.72102000,0
1738374900000000,0.33138000,0.33138000,0.33074000,0.33074000,716647.00000000,1738375199999999,237157.09432000,2154,274057.00000000,90699.89127000,0
1738375200000000,0.33074000,0.33089000,0.33016000,0.33059000,730498.00000000,1738375499999999,241408.06765000,4076,376506.00000000,124416.12872000,0
1738375500000000,0.33059000,0.33156000,0.33017000,0.33126000,749323.00000000,1738375799999999,247998.60318000,2311,412897.00000000,136643.66147000,0
1738375800000000,0.33127000,0.33159000,0.33102000,0.33122000,1012740.00000000,1738376099999999,335557.84587000,3031,354509.00000000,117466.02809000,0
1738376100000000,0.33122000,0.33227000,0.33121000,0.33194000,1097457.00000000,1738376399999999,364202.49134000,3054,631592.00000000,209566.07078000,0
1738376400000000,0.33193000,0.33206000,0.33150000,0.33155000,912128.00000000,1738376699999999,302644.06598000,2561,416353.00000000,138129.52124000,0
1738376700000000,0.33155000,0.33157000,0.33109000,0.33121000,602868.00000000,1738376999999999,199735.77799000,2059,163388.00000000,54138.87386000,0
1738377000000000,0.33120000,0.33154000,0.33049000,0.33087000,881876.00000000,1738377299999999,291745.55911000,3288,251757.00000000,83287.41864000,0
1738377300000000,0.33086000,0.33124000,0.33077000,0.33090000,1470761.00000000,1738377599999999,486734.48435000,2545,680983.00000000,225356.54623000,0
1738377600000000,0.33091000,0.33130000,0.33083000,0.33113000,908204.00000000,1738377899999999,300717.35700000,2011,579386.00000000,191860.41970000,0
1738377900000000,0.33114000,0.33141000,0.33077000,0.33083000,534413.00000000,1738378199999999,176910.97719000,2595,198817.00000000,65822.52846000,0
1738378200000000,0.33083000,0.33083000,0.33020000,0.33054000,1471224.00000000,1738378499999999,486157.61216000,2488,763901.00000000,252347.81454000,0
1738378500000000,0.33053000,0.33060000,0.32933000,0.32977000,2059056.00000000,1738378799999999,679359.26158000,3737,874184.00000000,288424.17064000,0
1738378800000000,0.32978000,0.33037000,0.32892000,0.32893000,1331181.00000000,1738379099999999,438824.11257000,4160,523087.00000000,172465.86021000,0
1738379100000000,0.32892000,0.32926000,0.32849000,0.32910000,1906498.00000000,1738379399999999,626868.48933000,3840,854459.00000000,280946.35809000,0
