world,family,transition,base_total,follow_total,base_open_share,follow_open_share,base_mature_share,follow_mature_share,base_episode_count,base_raw_match_count,base_tick_start,base_tick_end,base_net_return_pct,base_avg_body_pct,base_avg_range_pct,base_avg_volume,base_avg_rekopplung,base_avg_adaptive_rekopplung,base_avg_strain,base_avg_visual_gap,base_avg_hearing_gap,base_avg_feld_coherence,base_avg_feld_tension,follow_episode_count,follow_raw_match_count,follow_tick_start,follow_tick_end,follow_net_return_pct,follow_avg_body_pct,follow_avg_range_pct,follow_avg_volume,follow_avg_rekopplung,follow_avg_adaptive_rekopplung,follow_avg_strain,follow_avg_visual_gap,follow_avg_hearing_gap,follow_avg_feld_coherence,follow_avg_feld_tension
NEG_STRESS_2023,dio_00hc,nur_offen->offen_und_gereift,3,7,1.000000,0.714286,0.000000,0.285714,3,3,282,4855,6.353945,0.595014,0.987070,63709.730000,0.590543,0.626432,0.280699,0.353659,0.402760,0.367980,0.328963,7,7,31,4267,-22.401656,0.564073,0.963624,72835.867143,0.604415,0.638323,0.277231,0.342860,0.409322,0.367396,0.332872
NEG_STRESS_2023,dio_00pl,offen_und_gereift->nur_gereift,12,8,0.583333,0.000000,0.416667,1.000000,12,12,273,4372,4.725738,0.330985,0.454946,15604.845000,0.703055,0.745842,0.135763,0.238646,0.019152,0.520772,0.059033,8,8,151,4903,-21.752010,0.297333,0.493629,19693.402500,0.700307,0.744476,0.133644,0.221453,0.024529,0.510678,0.057870
NEG_STRESS_2023,dio_01kh,nur_offen->offen_und_gereift,5,9,1.000000,0.333333,0.000000,0.666667,5,5,78,4555,8.347039,0.189952,0.532154,41764.944000,0.664288,0.706032,0.181783,0.339220,0.122101,0.614424,0.123112,9,9,52,4791,-26.577518,0.217793,0.487064,22872.557778,0.672114,0.712086,0.176278,0.347254,0.107989,0.597449,0.114251
NEG_STRESS_2023,dio_01q0,nur_gereift->offen_und_gereift,3,6,0.000000,0.333333,1.000000,0.666667,3,3,2295,2787,-3.671409,0.285204,0.504826,28417.040000,0.694957,0.743384,0.134230,0.097428,0.074480,0.634186,0.081712,6,6,420,4643,-29.336100,0.289717,0.408129,12505.928333,0.705100,0.753317,0.127897,0.084134,0.074762,0.634455,0.081266
NEG_STRESS_2023,dio_02el,nur_gereift->offen_und_gereift,1,2,0.000000,0.500000,1.000000,0.500000,1,1,2857,2857,0.000000,0.994575,1.446655,77706.310000,0.611585,0.652908,0.235291,0.416166,0.176958,0.362968,0.171320,2,2,3157,4732,-21.572298,0.301376,0.454208,31777.125000,0.631647,0.671855,0.213189,0.359245,0.184956,0.404732,0.167291
NEG_STRESS_2023,dio_02x1,nur_gereift->offen_und_gereift,14,9,0.000000,0.333333,1.000000,0.666667,14,14,506,4587,14.217805,0.433492,0.594794,21859.617857,0.689397,0.730967,0.156986,0.166201,0.122869,0.525178,0.130913,9,9,1148,4872,-18.344519,0.337075,0.455089,11474.421111,0.687484,0.729907,0.160048,0.149204,0.138220,0.530994,0.138744
NEG_STRESS_2023,dio_03uk,offen_und_gereift->nur_gereift,27,14,0.037037,0.000000,0.962963,1.000000,27,27,42,4552,7.281553,0.041962,0.180932,6888.641852,0.723074,0.765635,0.124280,0.156127,0.043878,0.653613,0.050857,14,14,510,4353,-23.198012,0.047508,0.210435,6052.454286,0.719973,0.763820,0.121052,0.153007,0.038676,0.667992,0.045902
NEG_STRESS_2023,dio_04k7,nur_gereift->offen_und_gereift,4,4,0.000000,0.500000,1.000000,0.500000,4,4,4420,4971,0.484457,0.358484,0.498563,40578.717500,0.710722,0.759545,0.115595,0.073034,0.033159,0.659516,0.053151,4,4,249,4323,-22.850021,0.279930,0.363618,10099.782500,0.716287,0.768657,0.115884,0.090470,0.024438,0.625303,0.046655
NEG_STRESS_2023,dio_04si,nur_gereift->offen_und_gereift,1,7,0.000000,0.285714,1.000000,0.714286,1,1,4415,4415,0.000000,0.455110,0.951593,116831.570000,0.609514,0.649386,0.239212,0.500826,0.151516,0.462025,0.155757,7,7,994,4900,-17.350580,0.457511,0.685902,32209.180000,0.647151,0.682740,0.204885,0.499254,0.120280,0.495517,0.130872
NEG_STRESS_2023,dio_05il,offen_und_gereift->nur_offen,6,1,0.500000,1.000000,0.500000,0.000000,6,6,1791,4464,32.433783,0.818225,1.153493,67489.860000,0.635013,0.667665,0.211623,0.705725,0.026604,0.257942,0.088400,1,1,4969,4969,0.000000,0.942840,1.296405,52812.890000,0.600585,0.636610,0.241775,0.759116,0.029913,0.222226,0.087062
NEG_STRESS_2023,dio_05vd,offen_und_gereift->nur_offen,5,1,0.600000,1.000000,0.400000,0.000000,5,5,158,3245,-2.333197,0.433378,0.746616,29068.332000,0.640269,0.683406,0.214500,0.027339,0.356612,0.374136,0.290214,1,1,2623,2623,0.000000,0.334768,0.526064,14104.480000,0.607240,0.651777,0.248624,0.072531,0.376408,0.392836,0.302014
NEG_STRESS_2023,dio_06fh,nur_offen->offen_und_gereift,1,4,1.000000,0.750000,0.000000,0.250000,1,1,4325,4325,0.000000,0.814664,1.018330,85491.610000,0.621180,0.665635,0.232030,0.215563,0.262130,0.599758,0.223264,4,4,3174,4921,-15.007079,0.683748,0.883639,29803.985000,0.641467,0.681589,0.215232,0.224930,0.266275,0.587780,0.228775
NEG_STRESS_2023,dio_083d,nur_gereift->offen_und_gereift,2,4,0.000000,0.500000,1.000000,0.500000,2,2,952,4534,9.796596,0.428751,0.622440,31156.405000,0.641836,0.684003,0.199165,0.365019,0.131335,0.420448,0.136814,4,4,1157,4851,-20.579065,0.512859,0.771074,63171.572500,0.653979,0.693794,0.187483,0.384713,0.099471,0.395689,0.123378
NEG_STRESS_2023,dio_08l0,offen_und_gereift->nur_gereift,19,6,0.105263,0.000000,0.894737,1.000000,19,19,145,4979,2.915811,0.144046,0.349393,9684.664737,0.701281,0.741404,0.143837,0.310842,0.030410,0.593480,0.053869,6,6,229,4316,-21.902748,0.136579,0.337492,9518.578333,0.690786,0.734382,0.145177,0.302539,0.030278,0.591125,0.053677
NEG_STRESS_2023,dio_092h,offen_und_gereift->nur_gereift,5,2,0.200000,0.000000,0.800000,1.000000,5,5,733,4903,9.051909,0.349066,0.527201,33602.210000,0.661404,0.704990,0.195095,0.110140,0.247997,0.735472,0.227046,2,2,243,1912,-5.285235,0.366101,0.474861,12180.645000,0.644360,0.690709,0.210575,0.123243,0.264093,0.717721,0.238900
NEG_STRESS_2023,dio_09hj,nur_gereift->offen_und_gereift,2,3,0.000000,0.333333,1.000000,0.666667,2,2,3222,4504,12.335177,0.244158,0.557100,51222.555000,0.643460,0.685431,0.202228,0.336709,0.167149,0.604324,0.149004,3,3,6,4279,-23.336106,0.260653,0.837194,78123.910000,0.640511,0.681698,0.210923,0.371331,0.193383,0.633912,0.167837
NEG_STRESS_2023,dio_0bgi,nur_gereift->offen_und_gereift,4,4,0.000000,0.500000,1.000000,0.500000,4,4,2317,4445,18.046133,0.635230,0.985309,103204.545000,0.625034,0.657345,0.234565,0.703507,0.099243,0.290717,0.127749,4,4,4191,4977,-8.193277,0.560582,0.931167,57567.820000,0.607000,0.637546,0.246398,0.750676,0.121460,0.242417,0.141629
NEG_STRESS_2023,dio_0bzn,nur_gereift->offen_und_gereift,1,4,0.000000,0.250000,1.000000,0.750000,1,1,2257,2257,0.000000,0.047962,0.287770,17954.970000,0.651934,0.701056,0.192651,0.147992,0.165744,0.714481,0.157471,4,4,254,3866,-15.759076,0.022320,0.145361,6037.757500,0.673280,0.717139,0.182846,0.232361,0.166766,0.699979,0.151727
NEG_STRESS_2023,dio_0d46,offen_und_gereift->nur_gereift,5,7,0.200000,0.000000,0.800000,1.000000,5,5,283,4063,0.556745,0.185325,0.309752,20333.514000,0.686868,0.734148,0.156127,0.053734,0.170155,0.728098,0.152858,7,7,30,2791,-12.484549,0.038093,0.172430,5121.018571,0.688266,0.734291,0.158838,0.038452,0.185457,0.726995,0.168097
NEG_STRESS_2023,dio_0dd2,nur_gereift->offen_und_gereift,41,43,0.000000,0.651163,0.975610,0.348837,41,41,1,4291,-1.137749,0.062768,0.203055,7502.287317,0.721522,0.761531,0.133697,0.137913,0.079442,0.748655,0.076602,43,43,190,4440,-21.856540,0.059808,0.189671,5450.712326,0.723259,0.764076,0.133991,0.131846,0.078582,0.755657,0.076108
NEG_STRESS_2023,dio_0ef6,offen_und_gereift->nur_gereift,4,2,0.250000,0.000000,0.750000,1.000000,4,4,732,2207,-9.486848,0.167875,0.515160,40329.642500,0.660802,0.706604,0.191527,0.058706,0.251690,0.612725,0.231051,2,2,284,3387,-12.184003,0.156803,0.544716,33128.865000,0.648304,0.695693,0.202863,0.079299,0.252864,0.610254,0.235900
NEG_STRESS_2023,dio_0ein,offen_und_gereift->nur_gereift,14,9,0.857143,0.000000,0.142857,1.000000,14,14,967,4764,8.141962,0.299548,0.477885,20588.199286,0.708953,0.751779,0.127952,0.235563,0.010768,0.516266,0.040313,9,9,1072,4906,-15.959872,0.335014,0.591544,31492.018889,0.703907,0.746521,0.133016,0.256150,0.010797,0.488257,0.044696
NEG_STRESS_2023,dio_0f38,offen_und_gereift->nur_offen,4,2,0.250000,1.000000,0.750000,0.000000,4,4,1267,4944,9.368095,1.167522,1.781393,199292.855000,0.622273,0.659927,0.242694,0.255198,0.342030,0.528735,0.277795,2,2,5,4699,-31.353821,1.004055,1.147792,98904.625000,0.611811,0.653161,0.246304,0.291573,0.325290,0.494146,0.258703
NEG_STRESS_2023,dio_0fc4,nur_gereift->offen_und_gereift,3,3,0.000000,0.666667,1.000000,0.333333,3,3,176,1328,-6.565449,0.042024,0.372312,10772.460000,0.651962,0.699008,0.194839,0.030639,0.264581,0.397637,0.242512,3,3,2088,2792,-5.926581,0.124376,0.448022,16486.496667,0.647412,0.691690,0.200754,0.040654,0.280431,0.384652,0.251760
NEG_STRESS_2023,dio_0g3b,offen_und_gereift->nur_gereift,8,8,0.375000,0.000000,0.625000,1.000000,8,8,106,4248,-2.757202,0.118511,0.251483,16140.732500,0.726985,0.775180,0.104116,0.085337,0.014440,0.751670,0.025949,8,8,1231,4584,-23.568282,0.094604,0.245924,8449.248750,0.725602,0.773328,0.104205,0.086752,0.016232,0.746554,0.027675
NEG_STRESS_2023,dio_0idr,offen_und_gereift->nur_offen,3,1,0.666667,1.000000,0.333333,0.000000,3,3,514,4129,0.517464,0.352573,0.582317,35159.963333,0.624900,0.665887,0.236111,0.228283,0.306077,0.490419,0.273771,1,1,3404,3404,0.000000,0.425532,0.709220,22539.520000,0.597463,0.638820,0.265951,0.275897,0.322982,0.489162,0.283572
NEG_STRESS_2023,dio_0ioc,nur_gereift->offen_und_gereift,1,3,0.000000,0.666667,1.000000,0.333333,1,1,644,644,0.000000,0.434783,0.565217,41928.380000,0.628502,0.676306,0.223004,0.217341,0.226150,0.608108,0.204222,3,3,1975,3698,-6.681716,0.164936,0.272399,6175.723333,0.652475,0.695716,0.197197,0.194460,0.215637,0.591777,0.193644
