world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
DOGE_FOLLOW,dio_06jk,offen_und_gereift,19,2,16,0.105263,0.842105,0.701366,0.740667,0.152104,0.850877,0.131579
DOGE_FOLLOW,dio_10dv,offen_und_gereift,25,7,17,0.280000,0.680000,0.718171,0.759812,0.133308,0.716667,0.370000
DOGE_FOLLOW,dio_0une,nur_gereift,5,0,4,0.000000,0.800000,0.712002,0.749924,0.122437,0.800000,0.200000
DOGE_FOLLOW,dio_1oye,offen_und_gereift,18,3,14,0.166667,0.777778,0.683160,0.719998,0.172209,0.768518,0.270833
DOGE_FOLLOW,dio_06er,offen_und_gereift,55,37,17,0.672727,0.309091,0.731900,0.772303,0.121227,0.362121,0.279545
DOGE_FOLLOW,dio_068s,nur_gereift,2,0,1,0.000000,0.500000,0.647599,0.669639,0.202008,0.500000,0.000000
DOGE_FOLLOW,dio_1ewh,offen_und_gereift,69,68,1,0.985507,0.014493,0.709944,0.747407,0.146364,0.179952,0.000000
DOGE_FOLLOW,dio_14wj,offen_und_gereift,144,127,17,0.881944,0.118056,0.731806,0.769495,0.125724,0.380208,0.105035
DOGE_FOLLOW,dio_104t,offen_und_gereift,399,29,370,0.072682,0.927318,0.722762,0.757072,0.149748,0.937970,0.112469
DOGE_FOLLOW,dio_01hu,offen_und_gereift,26,1,25,0.038462,0.961538,0.715563,0.757539,0.133054,0.964744,0.480769
DOGE_FOLLOW,dio_0dd2,offen_und_gereift,63,44,19,0.698413,0.301587,0.724280,0.764896,0.132753,0.394180,0.007937
DOGE_FOLLOW,dio_1r55,offen_und_gereift,32,7,25,0.218750,0.781250,0.709793,0.750833,0.146496,0.799479,0.238281
DOGE_FOLLOW,dio_1tiu,offen_und_gereift,24,2,22,0.083333,0.916667,0.722493,0.766639,0.123930,0.909722,0.239583
DOGE_FOLLOW,dio_05ap,offen_und_gereift,27,22,5,0.814815,0.185185,0.732783,0.777291,0.112909,0.253086,0.078704
DOGE_FOLLOW,dio_0e70,nur_offen,1,1,0,1.000000,0.000000,0.596697,0.644866,0.264758,0.083333,0.000000
DOGE_FOLLOW,dio_1pij,offen_und_gereift,15,2,13,0.133333,0.866667,0.679679,0.721321,0.173906,0.883333,0.416667
DOGE_FOLLOW,dio_0nlj,offen_und_gereift,51,33,18,0.647059,0.352941,0.733892,0.776335,0.116257,0.442810,0.112745
DOGE_FOLLOW,dio_0jkk,offen_und_gereift,38,19,19,0.500000,0.500000,0.683334,0.718527,0.178258,0.368421,0.315789
DOGE_FOLLOW,dio_1492,offen_und_gereift,36,35,1,0.972222,0.027778,0.731009,0.773543,0.117394,0.157407,0.000000
DOGE_FOLLOW,dio_17db,offen_und_gereift,33,20,13,0.606061,0.393939,0.682803,0.719963,0.183526,0.429293,0.143939
DOGE_FOLLOW,dio_1rqi,offen_und_gereift,7,1,6,0.142857,0.857143,0.712841,0.761417,0.121696,0.904762,0.714286
DOGE_FOLLOW,dio_17ct,offen_und_gereift,77,68,9,0.883117,0.116883,0.717647,0.756788,0.146179,0.404762,0.084416
