pair_key,candidate_state,same_state,quiet_state,stress_state,mosaic_state,same_delta,quiet_delta,stress_delta,mosaic_delta,avg_pair_sleep_resonance,co_touch_ratio,combination_state
dio_mcm_episode_0e7qvj1|dio_mcm_episode_0eghs1d,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_partly_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,1|0,0|0,0|0,0.197309,0.95,sleep_cross_state_combination
dio_mcm_episode_0e7qvj1|dio_mcm_episode_0qrlave,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_partly_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,1|0,0|0,0|0,0.183324,0.646667,sleep_cross_state_combination
dio_mcm_episode_0e7qvj1|dio_mcm_episode_1k2bqha,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_fully_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,1|1,0|0,0|0,0.256765,1.0,sleep_same_state_combination
dio_mcm_episode_0e7qvj1|dio_mcm_episode_1wra2fc,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_partly_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,1|0,0|0,0|0,0.253371,1.0,sleep_same_state_combination
dio_mcm_episode_0eghs1d|dio_mcm_episode_0qrlave,origin_bound_combination,sleep_combination_fully_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,0|0,0|0,0|0,0.139249,0.606667,sleep_same_role_family_combination
dio_mcm_episode_0eghs1d|dio_mcm_episode_1k2bqha,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_partly_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,0|1,0|0,0|0,0.206078,0.95,sleep_cross_state_combination
dio_mcm_episode_0eghs1d|dio_mcm_episode_1wra2fc,origin_bound_combination,sleep_combination_fully_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,0|0,0|0,0|0,0.201509,0.95,sleep_cross_state_combination
dio_mcm_episode_0qrlave|dio_mcm_episode_1k2bqha,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_partly_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,0|1,0|0,0|0,0.189717,0.646667,sleep_cross_state_combination
dio_mcm_episode_0qrlave|dio_mcm_episode_1wra2fc,origin_bound_combination,sleep_combination_fully_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,0|0,0|0,0|0,0.195029,0.646667,sleep_cross_state_combination
dio_mcm_episode_1k2bqha|dio_mcm_episode_1wra2fc,quiet_intermediate_candidate,sleep_combination_fully_reactivated,sleep_combination_partly_reactivated,sleep_combination_not_reactivated,sleep_combination_not_reactivated,1|1,1|0,0|0,0|0,0.261716,1.0,sleep_same_role_family_combination
