family,year,world_hits,occurrences,hearing_delta,tension_delta,range_delta
ALLE,2023,8,251,-0.033877,-0.035180,-0.035900
dio_01hu,2023,4,122,-0.022049,-0.026106,-0.042995
dio_0ly7,2023,4,129,-0.045704,-0.044254,-0.028805
ALLE,2024,7,304,-0.041523,-0.040907,-0.017412
dio_01hu,2024,3,127,-0.030223,-0.030727,-0.023686
dio_0ly7,2024,4,177,-0.049999,-0.048541,-0.012706
ALLE,2025,7,333,-0.039119,-0.039388,-0.022204
dio_01hu,2025,3,153,-0.024603,-0.027134,-0.031055
dio_0ly7,2025,4,180,-0.050006,-0.048578,-0.015565
