world,start,end,class,role_count,durable_role_count,long_role_count,strain_role_count,unique_symbols,episodes,avg_rekopplung,avg_carry,avg_strain,avg_afterimage,top_roles,data_path
STRESS_NEGATIV_2024,2000,2500,einzelrekopplung,1,1,1,0,183,494,0.6809965298514447,0.4798778565460078,0.16189419603515795,0.08231992183968166,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start2000_size500.csv
STRESS_NEGATIV_2024,2500,3000,einzelrekopplung,1,1,1,0,190,494,0.6809295269590814,0.4780069703060396,0.16107833981865394,0.07168535617922057,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start2500_size500.csv
STRESS_NEGATIV_2024,3000,3500,einzelrekopplung,1,1,1,0,181,494,0.6819839106468016,0.4811887114484666,0.1606737002556216,0.07697316437836113,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start3000_size500.csv
STRESS_NEGATIV_2024,3500,4000,einzelrekopplung,1,1,1,0,184,494,0.6816768046533672,0.4808714142766219,0.16163283622780897,0.08726926714975664,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start3500_size500.csv
STRESS_NEGATIV_2024,4000,4500,einzelrekopplung,1,1,1,0,168,494,0.6851191282974842,0.48629473784742067,0.15816378525712285,0.09612925240890491,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start4000_size500.csv
STRESS_NEGATIV_2024,4500,5000,einzelrekopplung,1,1,1,0,178,494,0.6831930863932458,0.4830576068569521,0.16058705856340075,0.09112296284605889,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start4500_size500.csv
STRESS_NEGATIV_2024,5000,5500,einzelrekopplung,1,1,1,0,184,494,0.6825377555719827,0.48242937343755865,0.16082143783565087,0.09381134597892558,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start5000_size500.csv
STRESS_NEGATIV_2024,5500,6000,einzelrekopplung,1,1,1,0,176,494,0.6846676640018498,0.4859079486851617,0.15904812735249949,0.09928522146983573,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start5500_size500.csv
STRESS_NEGATIV_2024,6000,6500,einzelrekopplung,1,1,1,0,174,494,0.6816673588384806,0.48134846341727816,0.16157700994809865,0.08081632110240794,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start6000_size500.csv
STRESS_NEGATIV_2024,6500,7000,uebergang_mit_randkontakt,3,2,2,1,174,494,0.6836614699848498,0.48337008663529013,0.1589345523975089,0.08257559725063905,dio_mcm_episode_1k2bqha:field_carried:301; dio_mcm_episode_0e7qvj1:field_carried:192; dio_mcm_episode_0sjrih9:field_strained:1,data\scan_stress-negativ-2024_start6500_size500.csv
STRESS_NEGATIV_2024,7000,7500,einzelrekopplung,1,1,1,0,185,494,0.6827424609320613,0.48167948382904247,0.1603149798380001,0.08749821211208791,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start7000_size500.csv
STRESS_NEGATIV_2024,7500,8000,einzelrekopplung,1,1,1,0,173,494,0.6839147778041628,0.48387287583240074,0.15890693372082743,0.0893017894511758,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start7500_size500.csv
