welt,typ,metric,dio_0l7p,dio_14wj,delta_14wj_minus_0l7p
1503,basis_sol,count,72.0000,28.0000,-44.0000
1503,basis_sol,reversal_share_delta,0.0800,-0.2038,-0.2838
1503,basis_sol,focus_delta,0.0488,0.0401,-0.0087
1503,basis_sol,observation_delta,0.0769,0.0344,-0.0425
1503,basis_sol,afterimage_delta,0.1952,0.0650,-0.1302
1503,basis_sol,visual_gap_delta,0.0171,0.0309,0.0138
1503,basis_sol,hearing_gap_delta,-0.0724,-0.0981,-0.0257
1503,basis_sol,rekopplung_delta,0.0316,0.0288,-0.0028
1503,basis_sol,strain_delta,-0.0219,-0.0326,-0.0107
1504,quiet_sol,count,70.0000,36.0000,-34.0000
1504,quiet_sol,reversal_share_delta,0.0694,-0.0290,-0.0984
1504,quiet_sol,focus_delta,0.0471,0.0356,-0.0115
1504,quiet_sol,observation_delta,0.0690,0.0344,-0.0346
1504,quiet_sol,afterimage_delta,0.1728,0.0588,-0.1140
1504,quiet_sol,visual_gap_delta,0.0185,0.0118,-0.0067
1504,quiet_sol,hearing_gap_delta,-0.0715,-0.0963,-0.0248
1504,quiet_sol,rekopplung_delta,0.0303,0.0304,0.0001
1504,quiet_sol,strain_delta,-0.0219,-0.0330,-0.0111
1505,stress_sol,count,141.0000,85.0000,-56.0000
1505,stress_sol,reversal_share_delta,0.0941,-0.0169,-0.1110
1505,stress_sol,focus_delta,0.0413,0.0347,-0.0066
1505,stress_sol,observation_delta,0.0719,0.0417,-0.0302
1505,stress_sol,afterimage_delta,0.1995,0.0952,-0.1043
1505,stress_sol,visual_gap_delta,0.0170,0.0207,0.0037
1505,stress_sol,hearing_gap_delta,-0.0688,-0.0927,-0.0239
1505,stress_sol,rekopplung_delta,0.0280,0.0294,0.0014
1505,stress_sol,strain_delta,-0.0191,-0.0291,-0.0100
1506,btc,count,63.0000,36.0000,-27.0000
1506,btc,reversal_share_delta,0.1194,0.1789,0.0595
1506,btc,focus_delta,0.0500,0.0398,-0.0102
1506,btc,observation_delta,0.0741,0.0368,-0.0373
1506,btc,afterimage_delta,0.1849,0.0638,-0.1211
1506,btc,visual_gap_delta,0.0217,0.0225,0.0008
1506,btc,hearing_gap_delta,-0.0703,-0.0956,-0.0253
1506,btc,rekopplung_delta,0.0300,0.0301,0.0001
1506,btc,strain_delta,-0.0214,-0.0319,-0.0105
