welt,kerzen,unique_symbols,stable_ratio,carried_unrest_ratio,tipping_ratio,avg_afterimage,dio_0l7p_count,dio_1wdi_count,dio_14wj_count,dio_1fll_count,lesung
1521_mosaik_1200,1200,85,0.8719,0.1281,0.0000,0.3666,134,94,65,40,verteilte_mosaik_rollenlandschaft
1524_mosaik_3600,3600,86,0.8703,0.1297,0.0000,0.4269,402,282,195,120,verteilte_mosaik_rollenlandschaft_mit_staerkerem_nachhall
1525_interwoven_mosaik_2400,2400,97,0.8759,0.1236,0.0004,0.4053,256,195,134,77,verteilte_mosaik_rollenlandschaft_mit_mehr_symbolbreite_und_minimaler_kippnaehe
