world,base_families,follow_families,family_overlap,family_overlap_ratio,base_shared_ratio,follow_shared_ratio,shared_ratio_delta,relation_same,relation_changed,open_to_shared,shared_to_mature,shared_to_open
DOGE,621,513,384,0.512,0.363929,0.307992,-0.055937000000000014,244,140,6,76,6
XRP,700,437,345,0.4356060606060606,0.365714,0.331808,-0.03390599999999999,227,118,6,64,15
PAXG,496,432,337,0.5702199661590525,0.397177,0.388889,-0.008288000000000018,228,109,7,50,8
Stress,411,416,272,0.4900900900900901,0.277372,0.290865,0.013492999999999977,195,77,7,25,4
