world,start,end,class,role_count,durable_role_count,long_role_count,strain_role_count,unique_symbols,episodes,avg_rekopplung,avg_carry,avg_strain,avg_afterimage,top_roles,data_path
RUHIG_SIDEWAYS_2026,0,2000,uebergang_mit_randkontakt,3,2,2,1,356,1994,0.6948903583010222,0.5099502083263198,0.15532502169919005,0.1381385850105786,dio_mcm_episode_0e7qvj1:field_carried:1145; dio_mcm_episode_1k2bqha:field_carried:848; dio_mcm_episode_19q1eac:field_strained:1,data\scan_ruhig-sideways-2026_start0_size2000.csv
RUHIG_SIDEWAYS_2026,2000,4000,einzelrekopplung,1,1,1,0,340,1994,0.6950208500260932,0.5110615990166223,0.1553653015688164,0.13522439230664904,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_ruhig-sideways-2026_start2000_size2000.csv
RUHIG_SIDEWAYS_2026,4000,6000,einzelrekopplung,1,1,1,0,347,1994,0.6959246698981423,0.5118348012077909,0.15431637920176747,0.13920316519351875,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_ruhig-sideways-2026_start4000_size2000.csv
RUHIG_SIDEWAYS_2026,6000,8000,uebergang_mit_randkontakt,3,2,2,1,330,1994,0.6948059140326662,0.5120233574310934,0.15691012080354533,0.14809369367980588,dio_mcm_episode_0e7qvj1:field_carried:1215; dio_mcm_episode_1k2bqha:field_carried:778; dio_mcm_episode_0sjrih9:field_strained:1,data\scan_ruhig-sideways-2026_start6000_size2000.csv
STRESS_NEGATIV_2024,0,2000,einzelrekopplung,1,1,1,0,352,1994,0.6934588930698458,0.5086507785784739,0.15628462890600126,0.12644609017339895,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_stress-negativ-2024_start0_size2000.csv
STRESS_NEGATIV_2024,2000,4000,einzelrekopplung,1,1,1,0,365,1994,0.6942758994024604,0.5097862733598899,0.15628299893830763,0.1394525735826637,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_stress-negativ-2024_start2000_size2000.csv
STRESS_NEGATIV_2024,4000,6000,einzelrekopplung,1,1,1,0,350,1994,0.6954622310156426,0.512037283085852,0.15524122366269583,0.14151304367721398,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_stress-negativ-2024_start4000_size2000.csv
STRESS_NEGATIV_2024,6000,8000,uebergang_mit_randkontakt,3,2,2,1,354,1994,0.6945981349619238,0.5111462103433871,0.15620392805596406,0.14287773349331676,dio_mcm_episode_0e7qvj1:field_carried:1192; dio_mcm_episode_1k2bqha:field_carried:801; dio_mcm_episode_0r1kwkd:field_strained:1,data\scan_stress-negativ-2024_start6000_size2000.csv
EXPANSION_POSITIV_2023,0,2000,einzelrekopplung,1,1,1,0,339,1994,0.6951930492031625,0.5114795863309737,0.15578193037284233,0.13745918629135806,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_expansion-positiv-2023_start0_size2000.csv
EXPANSION_POSITIV_2023,2000,4000,uebergang_mit_randkontakt,3,2,2,1,358,1994,0.6958156430316327,0.5111500385521961,0.15529386203216275,0.14395468291711264,dio_mcm_episode_0e7qvj1:field_carried:1529; dio_mcm_episode_1k2bqha:field_carried:464; dio_mcm_episode_0sjrih9:field_strained:1,data\scan_expansion-positiv-2023_start2000_size2000.csv
EXPANSION_POSITIV_2023,4000,6000,uebergang_mit_randkontakt,3,2,2,1,343,1994,0.6936705981536042,0.5092336595079622,0.1565346681539433,0.12615444953238786,dio_mcm_episode_1k2bqha:field_carried:1479; dio_mcm_episode_0e7qvj1:field_carried:514; dio_mcm_episode_0ryrezu:field_strained:1,data\scan_expansion-positiv-2023_start4000_size2000.csv
EXPANSION_POSITIV_2023,6000,8000,einzelrekopplung,1,1,1,0,354,1994,0.695040110697162,0.5107059438391471,0.15589464880344303,0.14617847922912264,dio_mcm_episode_1joiyc3:field_carried:1994,data\scan_expansion-positiv-2023_start6000_size2000.csv
SYNTH_RAND_KIPP,0,2000,mehrrollen_kandidat,5,3,3,2,109,1994,0.7346121767868682,0.5809077327509735,0.1352568566508713,0.6411851374462849,dio_mcm_episode_1k5qdaq:field_carried:899; dio_mcm_episode_0mji3u6:field_carried:594; dio_mcm_episode_1bdmoa8:field_carried:499; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_15uimof:field_strained:1,data\scan_synth-rand-kipp_start0_size2000.csv
SYNTH_RAND_KIPP,2000,4000,einzelrekopplung,1,1,1,0,116,1994,0.7143662816852774,0.5481231885640885,0.1457174498753996,0.3617992336065086,dio_mcm_episode_0dgle71:field_carried:1994,data\scan_synth-rand-kipp_start2000_size2000.csv
SYNTH_RAND_KIPP,4000,6000,einzelrekopplung,1,1,1,0,94,1994,0.732135163939862,0.5710034693098117,0.12805795725268454,0.46169201314981945,dio_mcm_episode_0d9qets:field_carried:1994,data\scan_synth-rand-kipp_start4000_size2000.csv
SYNTH_RAND_KIPP,6000,8000,uebergang_mit_randkontakt,3,2,2,1,87,1994,0.7395342217938666,0.5850983455803763,0.1263338663981961,0.5975685668884417,dio_mcm_episode_11c3uxd:field_carried:1799; dio_mcm_episode_137ak0z:field_carried:194; dio_mcm_episode_0d2gm2j:field_strained:1,data\scan_synth-rand-kipp_start6000_size2000.csv
