family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,3,95,0.035654,0.033821,0.042018,0.041805,0.186729,0.193254,-0.001833,-0.000214,0.006525
dio_0ly7,3,95,0.035654,0.033821,0.042018,0.041805,0.186729,0.193254,-0.001833,-0.000214,0.006525
