speicher,ticks,rollen,top_symbol,top_symbol_count,zustand,avg_afterimage_abs,final_afterimage_abs,avg_signature_abs,final_signature_abs
SOL_2024_5m,320,5,dio_019bn1b,320,sleep_rekopplung,0.023841812,0.024359769,0.001202686,0.001213560
Stress_2023_5m,320,7,dio_019bn1b,320,sleep_rekopplung,0.024709163,0.025246605,0.001518842,0.001532164
