family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,8,251,0.092879,0.059002,0.096816,0.061636,0.253501,0.217601,-0.033877,-0.035180,-0.035900
dio_01hu,4,122,0.096589,0.074539,0.099788,0.073681,0.243599,0.200604,-0.022049,-0.026106,-0.042995
dio_0ly7,4,129,0.089170,0.043465,0.093845,0.049590,0.263402,0.234597,-0.045704,-0.044254,-0.028805
