lauf,quelle,active_role_set_count,avg_active_role_count,sleep_symbol,sleep_symbol_real_hits,old_roles_reappear_followups,role_quality
SOL_2024_SLEEP_PHASE,SOL_2024_5m,4,2.790625,dio_019bn1b,0,2,rekopplung_tragend
STRESS_2023_SLEEP_PHASE,Stress_2023_5m,25,3.559375,dio_019bn1b,0,1,rekopplung_tragend
