family,transition,count_2024,count_2025,base_net_2024,base_net_2025,follow_net_2024,follow_net_2025,base_range_2024,base_range_2025,follow_range_2024,follow_range_2025,base_hearing_gap_2024,base_hearing_gap_2025,follow_hearing_gap_2024,follow_hearing_gap_2025,base_tension_2024,base_tension_2025,follow_tension_2024,follow_tension_2025,range_delta_abs,hearing_delta_abs,tension_delta_abs
dio_00m4,nur_gereift->offen_und_gereift,1,1,0.000000,1.248109,4.200669,4.293578,0.000000,0.131802,0.760961,0.199876,0.223188,0.234137,0.235459,0.228926,0.191161,0.192636,0.198150,0.196142,0.561085,0.006533,0.002008
dio_00pl,offen_und_gereift->nur_gereift,2,1,-3.909441,1.733886,-0.973743,4.724991,0.174262,0.116789,0.176949,0.146168,0.019683,0.024503,0.021364,0.025280,0.056377,0.053720,0.057090,0.056948,0.030781,0.003916,0.000142
dio_01hu,nur_gereift->offen_und_gereift,2,1,-9.666224,28.585791,-5.436152,-6.808217,0.107710,0.199794,0.095528,0.176281,0.071483,0.075351,0.074019,0.076481,0.074931,0.076708,0.074407,0.075978,0.080753,0.002462,0.001571
dio_01kh,offen_und_gereift->nur_gereift,3,1,-3.682256,22.751748,0.297324,-23.581913,0.087248,0.537807,0.340866,0.585491,0.129044,0.124372,0.120203,0.123922,0.127526,0.125705,0.122279,0.125207,0.244625,0.003719,0.002928
dio_01q0,offen_und_gereift->nur_gereift,2,1,-4.886883,35.288066,1.129205,-14.546951,0.130615,0.500914,0.561789,0.713075,0.073218,0.069167,0.066134,0.075680,0.081964,0.077721,0.075692,0.081646,0.151286,0.009546,0.005954
dio_01qc,offen_und_gereift->nur_gereift,1,1,-4.005768,-15.367933,-7.853403,0.710767,0.465791,0.927573,0.683174,1.560787,0.040342,0.078407,0.032901,0.047307,0.086807,0.100437,0.067716,0.086477,0.877613,0.014406,0.018761
dio_02n3,nur_gereift->offen_und_gereift,1,1,-1.204399,-12.890067,-7.969471,-31.478610,0.118007,0.189793,0.111637,0.258426,0.010417,0.013088,0.012489,0.013615,0.026231,0.030418,0.024265,0.027805,0.146789,0.001126,0.003540
dio_02vn,nur_gereift->offen_und_gereift,1,1,0.000000,0.000000,3.926190,1.737242,0.000000,0.338219,0.741055,0.286304,0.039040,0.017520,0.056757,0.023424,0.083514,0.072157,0.089248,0.074038,0.454751,0.033333,0.015210
dio_02vn,offen_und_gereift->nur_gereift,2,1,-1.193223,43.624132,-4.559591,10.640162,0.293258,0.753482,0.402591,1.263119,0.034965,0.030234,0.040518,0.037139,0.076566,0.072935,0.085379,0.076831,0.860528,0.003379,0.008548
dio_02x1,offen_und_gereift->nur_gereift,3,1,-4.335562,50.108111,4.047015,-14.811718,0.186872,0.643540,0.491962,0.743171,0.123068,0.121827,0.121398,0.128879,0.129693,0.129283,0.129221,0.133526,0.251209,0.007481,0.004305
dio_033x,offen_und_gereift->nur_gereift,2,2,-4.601951,7.222751,-2.276038,0.000000,0.221918,0.696238,0.962631,0.801085,0.276902,0.273473,0.285056,0.260579,0.216654,0.217398,0.227580,0.201859,0.161546,0.024477,0.025721
dio_033x,offen_und_gereift->nur_offen,1,1,-0.445986,35.240515,0.000000,0.000000,0.217459,0.790142,0.000000,12.706745,0.277388,0.258953,0.257092,0.254442,0.219127,0.205811,0.199091,0.210729,12.706745,0.002650,0.011638
dio_047z,offen_und_gereift->nur_gereift,2,1,-7.519526,0.074997,-4.616078,0.000000,0.559659,1.072096,0.339334,1.178813,0.272846,0.275003,0.253731,0.265004,0.220982,0.217735,0.206747,0.206886,0.839480,0.011273,0.000139
dio_04q7,offen_und_gereift->nur_gereift,2,2,-3.353866,29.514225,-3.426014,-17.323851,0.161861,0.450547,0.176786,0.638064,0.035065,0.037584,0.041710,0.037537,0.051755,0.053574,0.054562,0.053243,0.461277,0.004173,0.001320
dio_058t,offen_und_gereift->nur_gereift,2,1,0.165411,-2.291956,-4.198089,-35.416780,0.515175,0.681481,0.460840,1.992521,0.105154,0.104455,0.111009,0.119948,0.126671,0.121773,0.136810,0.137277,1.531681,0.008939,0.000468
dio_05ap,nur_gereift->offen_und_gereift,1,2,-1.282051,5.311338,1.444943,-0.197860,0.065190,0.138442,0.078193,0.163165,0.043290,0.044505,0.041574,0.044428,0.049369,0.050183,0.047638,0.049870,0.084972,0.002854,0.002232
dio_05il,offen_und_gereift->nur_gereift,2,1,2.214269,-12.597389,-5.042000,0.000000,0.371437,1.110396,1.331995,1.744890,0.029908,0.052095,0.053105,0.021550,0.088580,0.099070,0.104940,0.077426,0.412895,0.031556,0.027514
dio_05vd,nur_offen->offen_und_gereift,1,1,0.000000,-10.727068,-3.435739,-15.352261,0.260870,0.556782,0.407158,0.685524,0.340150,0.340223,0.339282,0.340377,0.276927,0.283649,0.280700,0.283527,0.278366,0.001095,0.002827
dio_06cv,offen_und_gereift->nur_gereift,1,1,-11.004112,2.773464,0.000000,0.000000,0.530378,0.917456,0.599664,0.926031,0.096191,0.113644,0.081381,0.101604,0.119682,0.123463,0.107783,0.123538,0.326367,0.020223,0.015755
dio_06jk,nur_gereift->offen_und_gereift,1,1,0.000000,-14.263701,-0.704547,-19.065312,0.000000,0.220462,0.297428,0.239524,0.103736,0.131454,0.116903,0.126874,0.099086,0.126014,0.111188,0.121590,0.057904,0.009971,0.010402
dio_07o8,offen_und_gereift->nur_gereift,1,2,-1.965276,26.597195,1.930302,-15.485292,0.251582,0.364874,0.176024,0.344156,0.128148,0.133157,0.126302,0.132932,0.134527,0.135321,0.129466,0.134795,0.168132,0.006630,0.005329
dio_084i,offen_und_gereift->nur_gereift,1,1,-1.653196,2.769347,0.941356,0.433369,0.253058,0.121136,0.171316,0.192474,0.239539,0.238784,0.236872,0.233225,0.227004,0.229114,0.226779,0.224157,0.021158,0.003647,0.002622
dio_092h,offen_und_gereift->nur_gereift,1,1,-0.098717,-10.484821,0.000000,-0.844142,0.197775,0.550973,0.099108,0.801289,0.276023,0.244802,0.261388,0.248758,0.252977,0.224525,0.234576,0.227170,0.702181,0.012630,0.007406
dio_092o,offen_und_gereift->nur_offen,2,1,2.905799,37.936820,1.693914,0.000000,0.411529,0.864400,0.372309,1.226297,0.060612,0.052565,0.044604,0.023147,0.095095,0.090022,0.082887,0.073051,0.853988,0.021457,0.009835
dio_09hj,offen_und_gereift->nur_gereift,1,1,0.872753,12.151945,0.000000,-28.622683,0.328697,0.438605,0.376364,0.678440,0.181313,0.181284,0.196227,0.181107,0.168081,0.156577,0.166179,0.159189,0.302076,0.015120,0.006990
dio_0bzn,offen_und_gereift->nur_gereift,1,1,0.099305,3.117463,0.349650,-32.638959,0.024814,0.410718,0.149341,0.342963,0.181544,0.178276,0.173963,0.171914,0.162974,0.169223,0.167044,0.156303,0.193622,0.002049,0.010741
dio_0d03,offen_und_gereift->nur_gereift,2,1,-4.334703,32.724902,-3.317115,-5.983932,0.189611,0.555813,0.133021,0.404362,0.019740,0.028762,0.018571,0.023876,0.055557,0.053305,0.056854,0.057964,0.271340,0.005305,0.001110
dio_0d46,nur_gereift->offen_und_gereift,2,1,-6.213851,0.093509,1.010811,-29.620234,0.063935,0.238707,0.070259,0.313567,0.182667,0.178507,0.183479,0.181688,0.165453,0.163107,0.168520,0.165477,0.243308,0.001792,0.003043
dio_0dd2,nur_gereift->offen_und_gereift,1,1,-10.136191,-10.934332,-1.825633,-25.320907,0.122526,0.207472,0.117123,0.231740,0.081789,0.077839,0.078675,0.076954,0.078410,0.074702,0.076003,0.074072,0.114617,0.001721,0.001931
dio_0dsl,nur_gereift->offen_und_gereift,1,1,0.000000,15.576950,0.176340,-31.412241,0.000000,1.165921,1.347739,2.139492,0.073064,0.049243,0.061078,0.055360,0.095787,0.077216,0.088519,0.083630,0.791753,0.005718,0.004889
dio_0dzv,nur_gereift->offen_und_gereift,1,1,-5.856515,-2.939001,-5.463486,-17.547754,0.097197,0.283092,0.146276,0.419107,0.078330,0.064644,0.079354,0.075966,0.074449,0.065388,0.075991,0.073873,0.272831,0.003388,0.002118
dio_0ehc,offen_und_gereift->nur_gereift,1,1,-8.883971,37.753780,0.000000,0.000000,0.292521,0.835994,0.349515,1.060935,0.266853,0.272739,0.267372,0.290327,0.224590,0.227238,0.219679,0.247313,0.711420,0.022955,0.027634
dio_0f4r,offen_und_gereift->nur_gereift,1,3,-1.232134,13.377509,0.000000,-13.280218,0.064497,0.343979,0.066443,0.399186,0.132568,0.134848,0.121682,0.126709,0.121702,0.123987,0.114269,0.117242,0.332743,0.005027,0.002973
dio_0f8s,offen_und_gereift->nur_gereift,1,1,-1.133005,2.461189,0.497760,2.502720,0.000000,0.003161,0.003332,0.008846,0.204843,0.200044,0.205163,0.207659,0.199941,0.195857,0.199211,0.203271,0.005514,0.002496,0.004060
dio_0fc4,nur_gereift->offen_und_gereift,1,1,0.000000,-14.261364,0.944359,-22.438204,0.284653,0.628575,0.183285,0.586490,0.252926,0.264223,0.269470,0.277716,0.236394,0.240141,0.244212,0.249540,0.403205,0.008246,0.005328
dio_0fc4,offen_und_gereift->nur_gereift,1,2,0.052957,28.514219,0.000000,0.144513,0.229501,0.285874,0.157635,0.215236,0.270782,0.269773,0.234153,0.251688,0.247582,0.243920,0.220004,0.234565,0.057601,0.017535,0.014561
dio_0h6t,offen_und_gereift->nur_gereift,1,1,-10.287611,48.871543,0.000000,-20.415444,0.291745,0.699595,0.345015,1.096593,0.057834,0.058994,0.034434,0.064180,0.082384,0.085876,0.076991,0.085153,0.751578,0.029746,0.008162
dio_0ioc,nur_gereift->offen_und_gereift,1,1,-1.321853,0.000000,2.123577,0.351597,0.079324,0.146010,0.226721,0.367477,0.216284,0.219664,0.213629,0.218581,0.193781,0.189601,0.191962,0.199191,0.140756,0.004952,0.007229
dio_0jkx,nur_gereift->offen_und_gereift,1,1,-5.744807,17.385933,-5.337278,-35.445908,0.358722,0.792628,0.480376,0.897356,0.027230,0.023125,0.020301,0.027431,0.055610,0.052298,0.054856,0.057945,0.416980,0.007130,0.003089
dio_0lbk,offen_und_gereift->nur_gereift,1,1,-0.587947,34.906370,-0.347567,0.000000,0.196852,0.842977,0.174006,0.909918,0.025426,0.012736,0.005926,0.000936,0.034058,0.044524,0.047378,0.058725,0.735912,0.004990,0.011347
dio_0lg0,offen_und_gereift->nur_gereift,1,1,0.017388,-16.993079,0.000000,0.000000,0.387533,0.457141,0.236407,1.067138,0.123512,0.133632,0.118549,0.139108,0.137809,0.145332,0.129207,0.145629,0.830731,0.020559,0.016422
dio_0lr0,offen_und_gereift->nur_gereift,2,1,2.598930,-15.344147,-9.849558,-11.657958,0.486920,0.873748,0.579072,1.345798,0.102439,0.114735,0.137416,0.110070,0.118016,0.126240,0.135126,0.122054,0.766726,0.027346,0.013072
dio_0lwc,offen_und_gereift->nur_gereift,1,1,-0.328573,46.028263,0.000000,0.000000,0.731052,0.905495,0.871586,7.756612,0.119383,0.114186,0.109685,0.084537,0.132174,0.130145,0.126614,0.128086,6.885026,0.025148,0.001472
