family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,7,333,0.096783,0.057663,0.100007,0.060619,0.198492,0.176288,-0.039119,-0.039388,-0.022204
dio_01hu,3,153,0.100812,0.076208,0.102853,0.075719,0.190831,0.159776,-0.024603,-0.027134,-0.031055
dio_0ly7,4,180,0.093761,0.043755,0.097873,0.049295,0.204237,0.188672,-0.050006,-0.048578,-0.015565
