label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
axis_btc_2024_5000_halves,btc_2024_5m_5000_halves,rand_kippnah,verteilt,5,10,5,10,1.0,1.0,4,6,0.4144,0.104,0.23020459999999998,575,3721,1223,43,7,0,0,0.69795,0.522469,0.156261,0.835525,0.146778,0.090723,0.348669,data\scan_btc-2024-5m_start0_size5000.csv,data\scan_btc-2024-5m_start5000_size5000.csv
axis_doge_2024_5000_halves,doge_2024_5m_5000_halves,rand_kippnah,mittel,4,6,4,6,1.0,1.0,3,3,0.22083333333333333,0.013,0.29154833333333335,624,3587,1362,44,1,0,0,0.697275,0.521075,0.15538,0.833235,0.138238,0.090092,0.348803,data\scan_doge-2024-5m_start0_size5000.csv,data\scan_doge-2024-5m_start5000_size5000.csv
