family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,6,417,0.020787,0.036715,0.031286,0.043861,0.815285,0.879193,0.015928,0.012576,0.063908
dio_0ly7,6,417,0.020787,0.036715,0.031286,0.043861,0.815285,0.879193,0.015928,0.012576,0.063908
