world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
BTC_2024_5M_FOLLOW,dio_17db,offen_und_gereift,39,17,21,0.435897,0.538462,0.685787,0.721895,0.179609,0.320513,0.217949
BTC_2024_5M_FOLLOW,dio_0dwq,sonstig,1,0,0,0.000000,0.000000,0.688639,0.688639,0.140274,0.000000,0.000000
BTC_2024_5M_FOLLOW,dio_0uuz,nur_gereift,8,0,7,0.000000,0.875000,0.686635,0.724835,0.162109,0.875000,0.281250
BTC_2024_5M_FOLLOW,dio_0l7p,offen_und_gereift,172,37,134,0.215116,0.779070,0.727720,0.764145,0.135152,0.765988,0.113372
BTC_2024_5M_FOLLOW,dio_0obq,offen_und_gereift,80,58,21,0.725000,0.262500,0.706774,0.743866,0.156202,0.387500,0.110937
BTC_2024_5M_FOLLOW,dio_1er2,nur_gereift,4,0,3,0.000000,0.750000,0.670573,0.704203,0.177308,0.750000,0.125000
BTC_2024_5M_FOLLOW,dio_104d,nur_offen,4,3,0,0.750000,0.000000,0.650200,0.680583,0.199666,0.041667,0.000000
BTC_2024_5M_FOLLOW,dio_00ly,offen_und_gereift,91,71,20,0.780220,0.219780,0.722736,0.761892,0.134764,0.384615,0.001374
BTC_2024_5M_FOLLOW,dio_104t,offen_und_gereift,362,39,323,0.107735,0.892265,0.722579,0.757169,0.148869,0.896639,0.039710
BTC_2024_5M_FOLLOW,dio_0u1o,offen_und_gereift,14,8,6,0.571429,0.428571,0.673360,0.713050,0.181016,0.232143,0.285714
BTC_2024_5M_FOLLOW,dio_155c,offen_und_gereift,241,19,222,0.078838,0.921162,0.715699,0.751626,0.155292,0.908022,0.011411
BTC_2024_5M_FOLLOW,dio_01hu,offen_und_gereift,22,1,21,0.045455,0.954545,0.713856,0.756159,0.132201,0.962121,0.357955
BTC_2024_5M_FOLLOW,dio_1ygx,offen_und_gereift,8,4,4,0.500000,0.500000,0.726576,0.776256,0.105708,0.562500,0.125000
BTC_2024_5M_FOLLOW,dio_1feg,offen_und_gereift,4,3,1,0.750000,0.250000,0.715602,0.767115,0.114139,0.333333,0.062500
BTC_2024_5M_FOLLOW,dio_17ct,offen_und_gereift,86,45,41,0.523256,0.476744,0.717858,0.756298,0.147242,0.533915,0.063953
