world,family,transition,base_total,follow_total,base_open_share,follow_open_share,base_mature_share,follow_mature_share,base_episode_count,base_raw_match_count,base_tick_start,base_tick_end,base_net_return_pct,base_avg_body_pct,base_avg_range_pct,base_avg_volume,base_avg_rekopplung,base_avg_adaptive_rekopplung,base_avg_strain,base_avg_visual_gap,base_avg_hearing_gap,base_avg_feld_coherence,base_avg_feld_tension,follow_episode_count,follow_raw_match_count,follow_tick_start,follow_tick_end,follow_net_return_pct,follow_avg_body_pct,follow_avg_range_pct,follow_avg_volume,follow_avg_rekopplung,follow_avg_adaptive_rekopplung,follow_avg_strain,follow_avg_visual_gap,follow_avg_hearing_gap,follow_avg_feld_coherence,follow_avg_feld_tension
DOGE,dio_00cy,offen_und_gereift->nur_gereift,5,2,0.200000,0.000000,0.800000,1.000000,5,5,808,3316,4.242572,0.251390,0.362848,3340465.200000,0.711121,0.761851,0.120099,0.015678,0.073686,0.736331,0.085787,2,2,1339,3196,0.542473,0.283809,0.412972,8188680.000000,0.697812,0.749315,0.129015,0.030654,0.067990,0.720144,0.083477
DOGE,dio_00hc,nur_offen->offen_und_gereift,2,3,0.500000,0.666667,0.000000,0.333333,2,2,12,2260,-10.072585,0.303795,0.669635,11071531.000000,0.586867,0.604653,0.284247,0.305848,0.412452,0.393903,0.343579,3,3,1005,3047,-8.613054,0.489649,0.767761,7145251.333333,0.585475,0.620439,0.287795,0.368859,0.424253,0.371676,0.337074
DOGE,dio_00no,nur_gereift->offen_und_gereift,1,2,0.000000,0.500000,1.000000,0.500000,1,1,1932,1932,0.000000,0.075710,0.492114,8673876.000000,0.656005,0.703607,0.173001,0.331687,0.017939,0.471222,0.061539,2,2,379,798,15.790846,0.392010,0.681892,12436543.000000,0.686981,0.739654,0.134686,0.152533,0.025551,0.452712,0.060251
DOGE,dio_01hu,nur_gereift->offen_und_gereift,8,26,0.000000,0.038462,1.000000,0.961538,8,8,612,4956,-12.274762,0.012126,0.105771,1185790.625000,0.705716,0.751123,0.132575,0.139700,0.070084,0.649018,0.075632,26,26,10,4872,-2.297851,0.024862,0.108394,977379.423077,0.715563,0.757539,0.133054,0.147673,0.071602,0.652978,0.073690
DOGE,dio_01q0,offen_und_gereift->nur_gereift,12,6,0.583333,0.000000,0.416667,1.000000,12,12,112,4738,-9.773766,0.166238,0.261231,2536695.333333,0.715217,0.761100,0.122930,0.078646,0.065472,0.650273,0.076429,6,6,771,4229,-10.878567,0.238615,0.421725,5079295.500000,0.707724,0.755204,0.123877,0.081186,0.063981,0.655652,0.074767
DOGE,dio_02el,offen_und_gereift->nur_gereift,2,1,0.500000,0.000000,0.500000,1.000000,2,2,2105,3459,2.669062,0.453879,0.491206,3851283.500000,0.629085,0.669177,0.217606,0.417005,0.169502,0.435240,0.161152,1,1,369,369,0.000000,0.604657,0.771903,7040324.000000,0.616220,0.660977,0.230103,0.408444,0.164627,0.413544,0.162340
DOGE,dio_02i9,offen_und_gereift->nur_offen,2,1,0.500000,1.000000,0.500000,0.000000,2,2,1510,1995,-2.206620,0.786412,1.295669,28349051.000000,0.597462,0.635908,0.266720,0.290358,0.390175,0.475598,0.304236,1,1,1264,1264,0.000000,0.948429,1.292235,26575043.000000,0.580977,0.621082,0.283494,0.322439,0.390558,0.442805,0.299386
DOGE,dio_02vn,offen_und_gereift->nur_gereift,7,3,0.285714,0.000000,0.714286,1.000000,7,7,824,4539,-0.863852,0.212579,0.378168,3867614.571429,0.664366,0.702342,0.177861,0.493373,0.028581,0.412471,0.074440,3,3,765,3257,-9.119182,0.183192,0.605482,15789703.000000,0.650662,0.690565,0.187107,0.515863,0.034021,0.388150,0.077194
DOGE,dio_02x1,offen_und_gereift->nur_gereift,18,8,0.444444,0.000000,0.555556,1.000000,18,18,405,4629,-13.255319,0.241723,0.355596,2814440.888889,0.692491,0.733153,0.155377,0.168355,0.117272,0.528377,0.125955,8,8,869,3707,-6.348091,0.249146,0.362332,2177443.250000,0.687401,0.730470,0.158717,0.169057,0.122099,0.524306,0.128510
DOGE,dio_031e,offen_und_gereift->nur_gereift,5,3,0.200000,0.000000,0.800000,1.000000,5,5,1058,3917,-1.458109,0.093439,0.285102,4886284.400000,0.676800,0.718691,0.164000,0.339584,0.062156,0.591230,0.083903,3,3,929,1781,-9.719222,0.091923,0.312580,3677138.666667,0.669400,0.713189,0.167453,0.339141,0.061375,0.588880,0.085491
