label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
axis_assets_btc_2024_2000_to_4000,btc_2024_5m_shift,kompakt_gebunden,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,383,1548,426,14,6,0,0,0.69376,0.509629,0.156215,0.838808,0.140461,0.096379,0.329372,data\scan_btc-2024-5m_start2000_size2000.csv,data\scan_btc-2024-5m_start4000_size2000.csv
axis_assets_btc_2024_4000_to_6000,btc_2024_5m_shift,verteilt_rekoppelnd,verteilt,5,10,5,10,1.0,1.0,4,6,0.554,0.05,0.2229931,330,1664,321,9,0,0,0,0.697299,0.514061,0.153998,0.845726,0.151585,0.094978,0.333543,data\scan_btc-2024-5m_start4000_size2000.csv,data\scan_btc-2024-5m_start6000_size2000.csv
axis_assets_btc_2024_6000_to_8000,btc_2024_5m_shift,verteilt_rekoppelnd,verteilt,6,15,6,15,1.0,1.0,8,7,0.6666665333333334,0.063333,0.19409333333333334,325,1655,331,8,0,0,0,0.69747,0.514304,0.154092,0.846484,0.155177,0.094928,0.334136,data\scan_btc-2024-5m_start6000_size2000.csv,data\scan_btc-2024-5m_start8000_size2000.csv
axis_assets_doge_2024_2000_to_4000,doge_2024_5m_shift,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,0,3,0.5055556666666666,0.406667,0.35358399999999995,386,1504,468,22,0,0,0,0.6929,0.507721,0.157663,0.838801,0.134686,0.098047,0.325821,data\scan_doge-2024-5m_start2000_size2000.csv,data\scan_doge-2024-5m_start4000_size2000.csv
axis_assets_doge_2024_4000_to_6000,doge_2024_5m_shift,verteilt_offen,verteilt,5,10,5,10,1.0,1.0,4,6,0.2219999,0.053333,0.24294159999999998,436,1443,531,20,0,0,0,0.689106,0.501776,0.160134,0.834845,0.114117,0.102042,0.315578,data\scan_doge-2024-5m_start4000_size2000.csv,data\scan_doge-2024-5m_start6000_size2000.csv
axis_assets_doge_2024_6000_to_8000,doge_2024_5m_shift,mittlere_uebergangsphase,mittel,4,6,4,6,1.0,1.0,3,3,0.5599999999999999,0.18,0.27385183333333335,277,1749,237,8,0,0,0,0.701818,0.521092,0.150591,0.851391,0.170425,0.090767,0.344589,data\scan_doge-2024-5m_start6000_size2000.csv,data\scan_doge-2024-5m_start8000_size2000.csv
axis_assets_xrp_2024_2000_to_4000,xrp_2024_5m_shift,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,0,3,0.5733333333333334,0.36,0.35923499999999997,354,1591,381,19,3,0,0,0.695207,0.510915,0.155887,0.842659,0.144322,0.096188,0.330131,data\scan_xrp-2024-5m_start2000_size2000.csv,data\scan_xrp-2024-5m_start4000_size2000.csv
axis_assets_xrp_2024_4000_to_6000,xrp_2024_5m_shift,mittlere_uebergangsphase,mittel,4,6,4,6,1.0,1.0,3,3,0.4033335,0.206667,0.28066433333333335,355,1562,413,18,1,0,0,0.694638,0.509756,0.156421,0.841901,0.138397,0.096892,0.32854,data\scan_xrp-2024-5m_start4000_size2000.csv,data\scan_xrp-2024-5m_start6000_size2000.csv
axis_assets_xrp_2024_6000_to_8000,xrp_2024_5m_shift,mittlere_uebergangsphase,mittel,4,6,4,6,1.0,1.0,4,2,0.725,0.45,0.26656683333333336,291,1749,233,12,0,0,0,0.703023,0.521994,0.149251,0.853388,0.174507,0.090044,0.345735,data\scan_xrp-2024-5m_start6000_size2000.csv,data\scan_xrp-2024-5m_start8000_size2000.csv
axis_assets_paxg_2024_2000_to_4000,paxg_2024_5m_shift,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,2,1,0.33555533333333337,0.093333,0.3673143333333333,359,1577,407,10,0,0,0,0.698369,0.506885,0.15484,0.845818,0.132072,0.096845,0.32702,data\scan_paxg-2024-5m_start2000_size2000.csv,data\scan_paxg-2024-5m_start4000_size2000.csv
axis_assets_paxg_2024_4000_to_6000,paxg_2024_5m_shift,mittlere_uebergangsphase,mittel,4,6,4,6,1.0,1.0,0,6,0.6577776666666667,0.36,0.267823,326,1660,326,8,0,0,0,0.704956,0.512822,0.151686,0.852958,0.157767,0.093335,0.336406,data\scan_paxg-2024-5m_start4000_size2000.csv,data\scan_paxg-2024-5m_start6000_size2000.csv
axis_assets_paxg_2024_6000_to_8000,paxg_2024_5m_shift,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,0,3,0.41111133333333333,0.116667,0.3649803333333333,283,1690,298,6,0,0,0,0.703487,0.512713,0.152292,0.851811,0.140642,0.093711,0.335043,data\scan_paxg-2024-5m_start6000_size2000.csv,data\scan_paxg-2024-5m_start8000_size2000.csv
