welt,kerzen,unique_symbols,stable_ratio,carried_unrest_ratio,avg_afterimage,dio_0l7p_count,dio_1wdi_count,dio_14wj_count,dio_1fll_count,dio_104t_count,lesung
1525_strukturierte_mosaikvarianz,2400,97,0.8759,0.1236,0.4053,256,195,134,77,0,enge_wiedererkennbare_rollenlandschaft
1526_null_shuffle_order,2400,224,0.8045,0.1955,0.1512,70,0,0,0,140,zerstoerte_reihenfolge_erzeugt_breite_symbolstreuung
1527_null_random_sign,2400,221,0.8517,0.1483,0.2452,205,0,141,0,101,randomisierte_richtung_erhaelt_teilrollen_aber_verliert_randbruch_und_dio1fll
