world,family,transition,relation_base_total,relation_follow_total,pre_count,pre_rekopplung,pre_adaptive_rekopplung,pre_strain,pre_carry,pre_visual_gap,pre_hearing_gap,pre_form_stability,pre_form_change,pre_tone,pre_tone_shift_abs,pre_felt_pressure,pre_adapted_intake,pre_mcm_coherence,pre_mcm_tension,pre_mcm_asymmetry,pre_raw_net_pct,pre_raw_range_pct,pre_raw_body_pct,pre_raw_volume,open_count,open_rekopplung,open_adaptive_rekopplung,open_strain,open_carry,open_visual_gap,open_hearing_gap,open_form_stability,open_form_change,open_tone,open_tone_shift_abs,open_felt_pressure,open_adapted_intake,open_mcm_coherence,open_mcm_tension,open_mcm_asymmetry,open_raw_net_pct,open_raw_range_pct,open_raw_body_pct,open_raw_volume
BTC_2024_5M,dio_0ly7,nur_gereift->offen_und_gereift,16,19,152.000000,0.706569,0.746563,0.150574,0.533698,0.151848,0.105228,0.039312,0.004580,-0.041040,0.233506,0.111146,0.106809,0.624978,0.106809,0.006337,4.762268,0.096362,0.047236,72.252651,19.000000,0.730379,0.776040,0.111200,0.548489,0.068460,0.044790,0.343341,0.019819,0.028069,0.152279,0.054244,0.049717,0.767493,0.049717,0.093704,4.399868,0.086842,0.037071,71.716462
DOGE_2024_5M,dio_01hu,nur_gereift->offen_und_gereift,28,23,184.000000,0.710038,0.748924,0.146483,0.538240,0.140068,0.099604,0.028692,0.002861,-0.035057,0.211696,0.104002,0.101358,0.638339,0.101358,-0.000015,-2.423263,0.132237,0.058850,941707.940217,23.000000,0.714514,0.757145,0.131200,0.534770,0.151542,0.067429,-0.089287,0.005662,-0.028832,0.167880,0.075387,0.071330,0.648829,0.071330,-0.000282,-2.459322,0.113930,0.022076,997059.434783
DOGE_2024_5M,dio_0ly7,nur_gereift->offen_und_gereift,13,29,232.000000,0.712728,0.751343,0.146940,0.545953,0.155768,0.096288,0.015296,0.010662,-0.035207,0.202272,0.103775,0.099602,0.630753,0.099602,0.001741,1.659164,0.135085,0.068210,1071310.724138,29.000000,0.732213,0.776203,0.111272,0.556225,0.076242,0.044252,0.307503,0.045283,0.047188,0.114641,0.054577,0.049967,0.757960,0.049967,0.093979,1.540832,0.127930,0.066662,967747.103448
XRP_2024_5M,dio_01hu,nur_gereift->offen_und_gereift,18,14,112.000000,0.706787,0.746777,0.148734,0.528168,0.153030,0.096859,-0.003719,-0.008200,-0.027972,0.171615,0.102982,0.099597,0.631448,0.099597,0.018317,-8.487736,0.115359,0.051652,627052.982143,14.000000,0.710302,0.754530,0.132465,0.523573,0.147215,0.073916,-0.043808,-0.011039,-0.048664,0.149425,0.075188,0.073489,0.665807,0.073489,-0.011733,-8.574453,0.090057,0.024220,504521.928571
PAXG_2024_5M,dio_0ly7,nur_gereift->offen_und_gereift,19,24,192.000000,0.719256,0.759650,0.143526,0.539534,0.152592,0.081222,0.022739,0.000193,0.006799,0.159187,0.098050,0.089936,0.626787,0.089936,0.001703,0.597907,0.071188,0.029512,3.093154,24.000000,0.732241,0.777812,0.110776,0.553007,0.065138,0.047500,0.441030,0.091418,0.040248,0.081147,0.054470,0.052293,0.792069,0.052293,0.100422,0.697906,0.068357,0.035224,2.704462
