lauf,active_sleep_roles,cross_memory_rekopplung,source_only,sleep_only,befund
SOL_2024_SLEEP_PHASE,3,3,0,0,Musterfestigung rekopplungstragender Rollen
STRESS_2023_SLEEP_PHASE,6,6,0,0,Musterfestigung rekopplungstragender Rollen
