family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,7,304,0.098474,0.056951,0.101560,0.060653,0.123443,0.106032,-0.041523,-0.040907,-0.017412
dio_01hu,3,127,0.103851,0.073629,0.105400,0.074673,0.120527,0.096841,-0.030223,-0.030727,-0.023686
dio_0ly7,4,177,0.094441,0.044442,0.098679,0.050138,0.125631,0.112924,-0.049999,-0.048541,-0.012706
