lauf,welt,kerzen,unique_symbols,stable_ratio,carried_unrest_ratio,avg_afterimage,dio_0l7p_count,dio_14wj_count,dio_1wdi_count,dio_1fll_count,lesung
1522_lauf1,synthetic_1500_melody_randrollen_start_end_bridge_1200_5m,1200,66,0.9129,0.0871,0.3438,189,86,0,0,rekopplungs_wechselnaehe_mit_ruhiger_begleitung
1522_lauf2,synthetic_1500_melody_randrollen_start_end_bridge_1200_5m,1200,66,0.9129,0.0871,0.3438,189,86,0,0,rekopplungs_wechselnaehe_mit_ruhiger_begleitung
1523_lauf1,synthetic_1501_melody_randrollen_ref_shifted_transition_1200_5m,1200,85,0.8626,0.1374,0.4081,70,0,176,61,nachhallender_randbruch_mit_wechselnaehe_und_randqualitaet
1523_lauf2,synthetic_1501_melody_randrollen_ref_shifted_transition_1200_5m,1200,85,0.8626,0.1374,0.4081,70,0,176,61,nachhallender_randbruch_mit_wechselnaehe_und_randqualitaet
