welt,typ,family,count,avg_abs_ret,avg_range,edge_share_delta,reversal_share_delta,focus_delta,observation_delta,afterimage_delta,visual_gap_delta,hearing_gap_delta,rekopplung_delta,strain_delta,sensory_coupling_delta,felt_tension_delta,stable_share,unrest_share,kippend_share
1510,sol2024_5m,dio_0l7p,57,0.001561,0.003645,-0.0378,0.1191,0.0455,0.0615,0.1442,0.0237,-0.0698,0.0280,-0.0216,0.0184,-0.0553,1.0000,0.0000,0.0000
1510,sol2024_5m,dio_14wj,31,0.001841,0.003660,0.0160,0.1032,0.0364,0.0415,0.0857,0.0232,-0.0954,0.0297,-0.0317,0.0257,-0.0743,1.0000,0.0000,0.0000
