metric,real_a,real_b_after_sleep,delta
candles,2000.0,2000.0,0.0
episodes,1994.0,1994.0,0.0
unique_symbols,351.0,340.0,-11.0
episode_memory_written,5.0,3.0,-2.0
mcm_field_episode_written,5.0,3.0,-2.0
avg_mcm_carry_quality,0.509901,0.513118,0.003216
avg_mcm_rekopplung_quality,0.693318,0.695028,0.00171
avg_mcm_strain_quality,0.157341,0.154567,-0.002774
avg_mcm_sensory_coupling,0.83793,0.841227,0.003297
avg_mini_afterimage,0.132651,0.142229,0.009578
avg_mini_neuro_load,0.096769,0.094178,-0.002591
avg_mini_neuro_balance,0.329691,0.33449,0.004799
