world,start_tick,end_tick,duration,pressure_threshold_p90,alignment_threshold_p10,avg_pressure,avg_alignment,avg_asymmetry,avg_coherence,avg_strain,avg_rekopplung,pre8_pressure,post8_pressure,pre8_alignment,post8_alignment,pre8_rekopplung,post8_rekopplung,pre8_strain,post8_strain,dominant_effect,dominant_family,dominant_mcm_episode_preview,post_state
SOL_2023_NEG_STRESS_10K_RECEPTOR,44,44,1,0.301645,0.761854,0.409421,0.645736,0.171359,0.233540,0.309029,0.569253,0.160096,0.151104,0.890279,0.912637,0.652479,0.657032,0.173630,0.169159,kippend,dio_1sl6,dio_mcm_episode_0y50lf3,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,75,75,1,0.301645,0.761854,0.516152,0.423951,0.163866,0.106768,0.370579,0.544333,0.156655,0.223262,0.912230,0.881498,0.655782,0.641317,0.168284,0.200316,gespannt,dio_1bmg,dio_mcm_episode_19a388p,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,116,116,1,0.301645,0.761854,0.317346,0.707916,-0.006127,0.520010,0.276381,0.598590,0.204393,0.204373,0.865812,0.884784,0.633142,0.643556,0.199833,0.189022,tragend_unruhig,dio_1wo3,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,158,158,1,0.301645,0.761854,0.426341,0.735390,0.378106,0.322597,0.288684,0.591703,0.146563,0.186111,0.897359,0.874476,0.657306,0.653635,0.166868,0.183200,kippend,dio_09us,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,205,205,1,0.301645,0.761854,0.494596,0.541665,0.125762,0.193349,0.358087,0.549331,0.153857,0.202233,0.917707,0.918769,0.651149,0.649154,0.170705,0.186752,gespannt,dio_0w7y,dio_mcm_episode_19a388p,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,227,228,2,0.301645,0.761854,0.412539,0.566204,0.025060,0.176130,0.299380,0.581394,0.172304,0.327929,0.901958,0.784587,0.653231,0.601740,0.174828,0.267666,gespannt,dio_1kiy,dio_mcm_episode_19a388p,bleibt_kippnah_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,232,232,1,0.301645,0.761854,0.484249,0.469955,0.130826,0.174136,0.357930,0.549711,0.235743,0.350865,0.838168,0.788112,0.627543,0.603119,0.211713,0.268096,gespannt,dio_0ylu,dio_mcm_episode_19a388p,bleibt_kippnah_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,234,235,2,0.301645,0.761854,0.457935,0.655695,-0.135378,0.502082,0.340156,0.570943,0.277985,0.268137,0.785016,0.840501,0.614552,0.626684,0.238650,0.221884,kippend,dio_1w9u,dio_mcm_episode_1vfs1bz,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,282,282,1,0.301645,0.761854,0.443311,0.574681,-0.004408,0.320041,0.334262,0.566262,0.244078,0.273500,0.893645,0.825432,0.645760,0.631043,0.193023,0.217406,kippend,dio_1u96,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,313,313,1,0.301645,0.761854,0.369248,0.679056,0.192740,0.260975,0.284205,0.581948,0.225024,0.180682,0.861420,0.887061,0.642432,0.648399,0.191635,0.181080,kippend,dio_12ra,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,332,332,1,0.301645,0.761854,0.439190,0.535081,0.056473,0.294635,0.330991,0.570207,0.196115,0.213512,0.885783,0.850477,0.645872,0.647847,0.188084,0.193930,kippend,dio_01r9,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,361,361,1,0.301645,0.761854,0.415708,0.607485,0.103245,0.281984,0.317444,0.570327,0.159693,0.206695,0.913006,0.897004,0.656858,0.648703,0.167531,0.185848,kippend,dio_1h31,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,393,393,1,0.301645,0.761854,0.314623,0.748948,-0.201867,0.353589,0.253294,0.601428,0.174700,0.178917,0.874058,0.869101,0.644879,0.654996,0.180330,0.178993,tragend_unruhig,dio_0ta9,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,397,397,1,0.301645,0.761854,0.314239,0.616068,0.134518,0.382995,0.254844,0.614601,0.188745,0.221784,0.866660,0.878837,0.645363,0.639973,0.187950,0.200131,tragend_unruhig,dio_06o4,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,402,402,1,0.301645,0.761854,0.348138,0.736115,0.020960,0.421532,0.276963,0.594368,0.178917,0.196105,0.869101,0.908898,0.654996,0.654903,0.178993,0.184325,tragend_unruhig,dio_0bsx,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,428,429,2,0.301645,0.761854,0.330375,0.741406,-0.074303,0.458017,0.261033,0.607889,0.178582,0.246592,0.916368,0.848500,0.651543,0.639159,0.175928,0.210027,tragend_unruhig,dio_041p,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,433,433,1,0.301645,0.761854,0.508183,0.462534,-0.001015,0.242940,0.372985,0.545940,0.207327,0.216589,0.857068,0.912801,0.644596,0.646238,0.195590,0.192325,gespannt,dio_1rwr,dio_mcm_episode_1c731vr,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,514,514,1,0.301645,0.761854,0.364186,0.660556,0.001715,0.444159,0.292793,0.592169,0.220090,0.175459,0.866475,0.891731,0.648211,0.660103,0.190278,0.174243,kippend,dio_0bv1,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,552,552,1,0.301645,0.761854,0.369067,0.711319,-0.111733,0.486005,0.300563,0.583262,0.218689,0.269862,0.883964,0.799659,0.632643,0.643097,0.201216,0.215077,kippend,dio_1scn,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,560,562,3,0.301645,0.761854,0.331464,0.621230,0.122746,0.427028,0.243931,0.625189,0.270161,0.198309,0.813355,0.844779,0.637608,0.645076,0.220786,0.187432,tragend_unruhig,dio_0va1,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,629,629,1,0.301645,0.761854,0.350373,0.629390,0.082909,0.398563,0.290193,0.620532,0.185270,0.171470,0.863042,0.901529,0.652259,0.659293,0.181823,0.165562,kippend,dio_1of5,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,645,645,1,0.301645,0.761854,0.455689,0.583451,-0.120612,0.396582,0.348315,0.560780,0.203768,0.248420,0.887951,0.864722,0.651617,0.635382,0.186080,0.212085,kippend,dio_0a1n,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,648,648,1,0.301645,0.761854,0.368320,0.589973,-0.036923,0.227777,0.248320,0.612686,0.283691,0.200652,0.826035,0.912048,0.628279,0.642479,0.233884,0.189976,tragend_unruhig,dio_0jza,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,753,753,1,0.301645,0.761854,0.451535,0.555697,0.138091,0.210437,0.333011,0.562027,0.158854,0.182125,0.917671,0.913394,0.663223,0.657899,0.163805,0.170303,gespannt,dio_1siz,dio_mcm_episode_0l5wut9,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,802,802,1,0.301645,0.761854,0.401330,0.690710,0.120338,0.285139,0.296832,0.579702,0.208457,0.159340,0.908213,0.890403,0.642258,0.652495,0.190475,0.171496,kippend,dio_1kbp,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,830,830,1,0.301645,0.761854,0.333406,0.748009,0.192259,0.326686,0.265668,0.591859,0.198363,0.163970,0.910557,0.902799,0.645285,0.656247,0.187134,0.169333,tragend_unruhig,dio_1ytj,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,841,841,1,0.301645,0.761854,0.391969,0.704635,-0.017463,0.397224,0.292401,0.590176,0.161302,0.204344,0.879096,0.921029,0.657354,0.654266,0.168610,0.176470,kippend,dio_06be,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,852,852,1,0.301645,0.761854,0.375920,0.722201,0.048366,0.342455,0.291307,0.580629,0.189362,0.233555,0.922128,0.876227,0.653687,0.632179,0.173427,0.201971,kippend,dio_0c3o,dio_mcm_episode_183drjy,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,872,873,2,0.301645,0.761854,0.375371,0.578352,0.082384,0.288872,0.272318,0.599261,0.288253,0.314052,0.798618,0.700661,0.634564,0.613106,0.226617,0.245134,tragend_unruhig,dio_1gfl,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,877,879,3,0.301645,0.761854,0.391738,0.572001,-0.262511,0.332697,0.281556,0.597961,0.316383,0.255228,0.678215,0.825198,0.614786,0.638357,0.250870,0.206411,kippend,dio_0jkv,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,954,954,1,0.301645,0.761854,0.309210,0.721716,-0.028661,0.343259,0.224579,0.623382,0.220892,0.232923,0.842180,0.876675,0.648003,0.636639,0.185413,0.203151,tragend_unruhig,dio_1h5k,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1009,1009,1,0.301645,0.761854,0.483485,0.510469,0.095963,0.214485,0.336555,0.572054,0.156241,0.223653,0.877981,0.850050,0.661128,0.635097,0.158811,0.202830,kippend,dio_0f1b,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1017,1017,1,0.301645,0.761854,0.362516,0.708917,0.036051,0.388632,0.283213,0.591071,0.238774,0.188883,0.825244,0.903458,0.632719,0.647594,0.209498,0.177892,kippend,dio_1pj6,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1060,1060,1,0.301645,0.761854,0.308580,0.685995,0.057125,0.432160,0.255280,0.610753,0.181234,0.179937,0.906318,0.900067,0.657005,0.651963,0.171304,0.173790,tragend_unruhig,dio_119q,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1097,1097,1,0.301645,0.761854,0.470985,0.567050,0.452892,0.263065,0.322404,0.578841,0.152639,0.240467,0.886272,0.809203,0.662563,0.627410,0.159455,0.210363,kippend,dio_18en,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1101,1101,1,0.301645,0.761854,0.321283,0.625814,0.025623,0.243900,0.235248,0.614133,0.228278,0.215802,0.828619,0.843775,0.635375,0.641777,0.205305,0.192103,tragend_unruhig,dio_0uwn,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1121,1121,1,0.301645,0.761854,0.333556,0.627730,-0.043280,0.323477,0.264725,0.597734,0.245327,0.287701,0.882344,0.808066,0.638408,0.620421,0.201652,0.226980,tragend_unruhig,dio_14zo,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1126,1127,2,0.301645,0.761854,0.362625,0.710071,-0.169295,0.365702,0.266176,0.599615,0.287732,0.213482,0.804548,0.886215,0.617381,0.644969,0.230821,0.188854,tragend_unruhig,dio_13tn,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1141,1141,1,0.301645,0.761854,0.335744,0.631121,0.000518,0.288652,0.238384,0.617885,0.205486,0.259957,0.841592,0.785158,0.650427,0.628931,0.191889,0.216278,tragend_unruhig,dio_14xd,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1144,1144,1,0.301645,0.761854,0.301745,0.701952,0.041797,0.362359,0.247266,0.603590,0.252181,0.212238,0.778195,0.837751,0.636222,0.645171,0.212929,0.191727,tragend_unruhig,dio_0mxs,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1264,1264,1,0.301645,0.761854,0.384579,0.658364,0.010814,0.359231,0.302719,0.578527,0.182069,0.355190,0.870168,0.753609,0.649044,0.598804,0.181779,0.271850,kippend,dio_0w9g,dio_mcm_episode_1t5bcxp,bleibt_kippnah_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1267,1270,4,0.301645,0.761854,0.419750,0.658754,-0.208450,0.430933,0.316390,0.575581,0.233439,0.262619,0.826361,0.845955,0.629685,0.637819,0.208532,0.202845,kippend,dio_1ney,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1273,1273,1,0.301645,0.761854,0.314319,0.749379,-0.080779,0.364302,0.212626,0.635999,0.355190,0.230385,0.753609,0.848377,0.598804,0.640792,0.271850,0.196235,stabil,dio_1pet,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1284,1284,1,0.301645,0.761854,0.339257,0.698822,0.036885,0.356186,0.232340,0.624937,0.236428,0.209666,0.817630,0.893338,0.630759,0.653277,0.206904,0.185012,tragend_unruhig,dio_1upb,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1328,1328,1,0.301645,0.761854,0.330864,0.672707,0.211819,0.309472,0.255773,0.605382,0.146303,0.176933,0.913049,0.899051,0.664921,0.662005,0.156182,0.173253,tragend_unruhig,dio_089s,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1424,1424,1,0.301645,0.761854,0.365830,0.691977,0.185989,0.255857,0.280428,0.583800,0.165226,0.239327,0.877385,0.856348,0.657469,0.627400,0.169061,0.211007,kippend,dio_02yv,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
