intake_key;axis;inner_effect_state;mcm_preview_symbol;base_quality;probe_quality;comparison_state;base_events;probe_events;base_balance;probe_balance;balance_delta;base_strain;probe_strain;base_fieldinput;probe_fieldinput;fieldinput_delta
feldinput|inner_effect_stable|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_stable;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;316;430;0.448111;0.462756;0.014645000000000019;0.179825;0.176418;0.209469;0.207904;-0.001564999999999983
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;191;239;0.333068;0.349711;0.01664300000000002;0.230262;0.224944;0.289867;0.290964;0.0010970000000000146
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;138;163;0.401284;0.419758;0.018474000000000046;0.20422;0.198978;0.212461;0.207377;-0.005084000000000005
hoeren_hin|inner_effect_stable|dio_mcm_episode_1hdpu9s;hoeren_hin;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;90;150;0.571125;0.577747;0.006622000000000017;0.133837;0.132862;0.061637;0.058501;-0.003136
sehen_fokus|inner_effect_stable|dio_mcm_episode_1hdpu9s;sehen_fokus;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;78;150;0.555753;0.55139;-0.004363000000000006;0.136148;0.138892;0.092849;0.099825;0.006975999999999996
fuehlen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;114;135;0.356394;0.381561;0.025166999999999995;0.223903;0.214938;0.222392;0.208167;-0.014225000000000015
feldinput|inner_effect_stable|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_stable;dio_mcm_episode_1hdpu9s;contact_loaded_intake;contact_loaded_intake;quality_reproduced;28;67;0.436183;0.453304;0.017120999999999997;0.18331;0.177276;0.221191;0.211936;-0.009254999999999985
ausgeglichen|inner_effect_stable|dio_mcm_episode_1hdpu9s;ausgeglichen;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;29;61;0.528269;0.534547;0.006278000000000006;0.15266;0.152829;0.121089;0.113609;-0.0074800000000000005
hoeren_leise|inner_effect_stable|dio_mcm_episode_1hdpu9s;hoeren_leise;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;23;60;0.48638;0.483019;-0.003361000000000003;0.167038;0.166283;0.164556;0.18282;0.018264000000000002
sehen_abstand|inner_effect_stable|dio_mcm_episode_1hdpu9s;sehen_abstand;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;29;51;0.520536;0.520443;-9.300000000000974e-05;0.155628;0.155489;0.111846;0.11249;0.0006440000000000057
