pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,67,4,8,druckuebergang,0.238806,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,74,4,6,rekoppelnd_stabil,0.540541,breit_driftend
