pair,events,worlds,signature_count,top_signature,top_signature_share,pressure_delta,pressure_std,rekopplung_delta,rekopplung_std,drift_label
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,103,4,17,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.553398,0.003476,0.073395,0.001089,0.027380,wiederkehrend_variabel
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,97,4,36,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,0.134021,-0.002118,0.079112,0.000799,0.024039,lokal_offen
