symbol_group,stability_state,before_windows,after_windows,delta_windows,before_world_count,after_world_count,delta_world_count,before_symbol_count,after_symbol_count,delta_symbol_count,before_avg_rekopplung,after_avg_rekopplung,delta_avg_rekopplung,before_avg_relief,after_avg_relief,delta_avg_relief,before_avg_kipp_pressure,after_avg_kipp_pressure,delta_avg_kipp_pressure,before_avg_field_pressure,after_avg_field_pressure,delta_avg_field_pressure,before_avg_symbol_share,after_avg_symbol_share,delta_avg_symbol_share,before_avg_syntax_concentration,after_avg_syntax_concentration,delta_avg_syntax_concentration,before_dominant_role,after_dominant_role,before_dominant_effect,after_dominant_effect,before_dominant_awareness,after_dominant_awareness
offene_variante,stabil,24.0,26.0,2.0,5.0,6.0,1.0,1.0,2.0,1.0,0.6196855427083333,0.6185439225961539,-0.0011416201121794423,0.697883071125,0.697289742625,-0.0005933285000000454,0.20973027411166667,0.21422339315192307,0.004493119040256399,0.20679139395833335,0.20828232024038465,0.0014909262820513025,0.3671875,0.34471153846153846,-0.022475961538461542,0.22566666666666668,0.21729807692307693,-0.008368589743589755,lokale_multisensorische_kippnaehe (18/24),lokale_multisensorische_kippnaehe (20/26),tragend_unruhig (18/24),tragend_unruhig (20/26),inner_effect_carried_unrest (18/24),inner_effect_carried_unrest (20/26)
randspannung,stabil,14.0,14.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.6071979205357143,0.6071979205357143,0.0,0.6905465295178572,0.6905465295178572,0.0,0.25238617514214284,0.25238617514214284,0.0,0.2223215584464286,0.2223215584464286,0.0,0.2857142857142857,0.2857142857142857,0.0,0.20610714285714288,0.20610714285714288,0.0,lokale_multisensorische_kippnaehe (14/14),lokale_multisensorische_kippnaehe (14/14),tragend_unruhig (14/14),tragend_unruhig (14/14),inner_effect_carried_unrest (14/14),inner_effect_carried_unrest (14/14)
rekopplungsnaehe,stabil,106.0,128.0,22.0,6.0,7.0,1.0,3.0,3.0,0.0,0.6308522698113208,0.6295318623046875,-0.0013204075066333143,0.7079393416650944,0.7071867292226562,-0.000752612442438183,0.18417916684415095,0.18858266086367187,0.0044034940195209205,0.19492788228301888,0.19640652883398438,0.0014786465509654956,0.5029481132075472,0.5017578125,-0.0011903007075472205,0.2780731132075472,0.27290625,-0.005166863207547168,lokal_rekoppelnd (78/106),lokal_rekoppelnd (92/128),stabil (88/106),stabil (98/128),inner_effect_stable (88/106),inner_effect_stable (98/128)
