asset;dominant_suggestion;display_name;passive_reading;source_count;trace_count;total_events;avg_recoupling_balance;avg_strain_quality;avg_carry_quality;avg_field_intake_pressure;field_support_score;field_pressure_score;support_minus_pressure
BTC;stable_listening_pull;ruhig hinhoeren;eher_getragen;4;4;4054;0.5714325927479034;0.13398428638381843;0.5531601702022695;0.06172493487913172;0.6311798041810558;0.14926801391218547;0.4819117902688703
BTC;sharpening_pull;Sehen schaerfen;eher_getragen;4;4;3739;0.5478754974592137;0.13977568360524203;0.535518490772934;0.10243903557100828;0.609753973709548;0.17169334723188018;0.4380606264776678
BTC;focus_pull;Fokus halten / vertiefen;eher_getragen;4;8;4528;0.49889013162544177;0.1654866473056537;0.5226941300795053;0.12044419633392225;0.578850420395318;0.19781315007729683;0.38103727031802115
BTC;softening_pull;leiser / weicher aufnehmen;eher_getragen;4;4;1493;0.4566245525787006;0.17869672806430006;0.49970070462156735;0.1937428171466845;0.5431323407568653;0.23941697160080372;0.3037153691560616
BTC;contact_relief_pull;Druck / Feldkontakt entlasten;eher_getragen;4;4;1734;0.3952070409457901;0.20325442156862747;0.4644190184544406;0.2540769809688581;0.49465668463091117;0.2838142259515571;0.21084245867935408
BTC;distance_pull;Abstand bilden;eher_getragen;4;4;428;0.35416684813084115;0.22396648598130842;0.43584259813084114;0.23413042523364486;0.4661102998831776;0.29131206156542055;0.17479823831775704
KAS;stable_listening_pull;ruhig hinhoeren;eher_getragen;1;50;2028;0.563364602071006;0.1352393244575937;0.5385713481262326;0.06385183136094674;0.62210492719428;0.15189373823964497;0.47021118895463504
KAS;sharpening_pull;Sehen schaerfen;eher_getragen;1;50;1911;0.536063413919414;0.1431832899005756;0.5206920434327578;0.1080650502354788;0.5983459174515962;0.17724898846153844;0.4210969289900577
KAS;focus_pull;Fokus halten / vertiefen;eher_getragen;1;21;2064;0.4919689239341085;0.16731855135658916;0.512674675872093;0.12177555135658916;0.5719127420542636;0.2002082300629845;0.3717045119912791
KAS;softening_pull;leiser / weicher aufnehmen;eher_getragen;1;32;752;0.44389295345744684;0.18303259840425531;0.48434636436170214;0.1960687433510638;0.5313629224069149;0.2442082236037234;0.28715469880319144
KAS;contact_relief_pull;Druck / Feldkontakt entlasten;eher_getragen;1;40;802;0.39989274937655855;0.20046200000000003;0.4584778603491272;0.2416293403990025;0.49620985430174563;0.27687572375311725;0.21933413054862838
KAS;distance_pull;Abstand bilden;eher_getragen;1;127;419;0.3404490190930788;0.23005258711217183;0.42158741050119336;0.23576193556085917;0.45417620000000003;0.2967610855608592;0.15741511443914086
SOL;stable_listening_pull;ruhig hinhoeren;eher_getragen;3;202;8059;0.5741917132398561;0.13401701203623276;0.5621746154609752;0.06413408747983622;0.6353322764176698;0.14983253342226083;0.48549974299540893
SOL;sharpening_pull;Sehen schaerfen;eher_getragen;3;143;7120;0.5537226507022472;0.13889164311797753;0.5488457200842697;0.10320127556179776;0.6170619029775282;0.1707233520224719;0.44633855095505626
SOL;focus_pull;Fokus halten / vertiefen;eher_getragen;3;27;6301;0.5084676640215838;0.16339509792096493;0.5392040106332328;0.11784654102523409;0.5894076886367243;0.1943962608712903;0.395011427765434
SOL;softening_pull;leiser / weicher aufnehmen;eher_getragen;3;120;2921;0.46396086853817187;0.17704978911331734;0.5135007411845258;0.1924701205066758;0.551555659294762;0.23706632302293734;0.3144893362718247
SOL;distance_pull;Abstand bilden;eher_getragen;3;367;2474;0.4219274789814066;0.1979179785772029;0.4808160553759095;0.1790034373484236;0.5204608433306386;0.24737534345189977;0.2730854998787388
SOL;contact_relief_pull;Druck / Feldkontakt entlasten;eher_getragen;3;133;3107;0.41790847280334725;0.19520252204699068;0.48798228226585133;0.24134277438043128;0.515198081911812;0.27169197375281623;0.24350610815899582
