pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,69,4,8,rekoppelnd_offen,0.289855,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,79,4,5,rekoppelnd_stabil,0.607595,breit_driftend
