pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,rekoppelnd_offen,6,0.428571
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,rekoppelnd_stabil,2,0.142857
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,offen_rekoppelnd,2,0.142857
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,druckbruch,1,0.071429
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,druckuebergang,1,0.071429
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,gemischt,1,0.071429
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_QUIET_4000,bruchuebergang,1,0.071429
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,rekoppelnd_offen,5,0.312500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,druckuebergang,4,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,druckbruch,2,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,bruchuebergang,2,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,bruchdominant,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,gemischt,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_BTC_STRESS_4000,offen_rekoppelnd,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_SOL_QUIET_4000,bruchuebergang,4,0.363636
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_5M_SOL_QUIET_4000,druckbruch,3,0.272727
