world,mcm_preview,symbol_family,count,share_of_open,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,longest_streak,streak_count
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0p3j,1,0.007937,0.622980,0.387806,0.231011,0.814708,0.221764,0.077255,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_03w0,1,0.007937,0.610983,0.350049,0.241754,0.811118,0.175503,0.129757,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0raf,1,0.007937,0.618502,0.348898,0.219414,0.829069,0.150419,0.106663,1,1
NEG_STRESS_2023,dio_mcm_episode_0ifxej6,dio_1po9,1,0.007937,0.619968,0.363272,0.226303,0.830918,0.120581,0.168121,1,1
NEG_STRESS_2023,dio_mcm_episode_03xfov3,dio_1lfw,1,0.007937,0.621949,0.401346,0.233386,0.784359,0.188340,0.255263,1,1
NEG_STRESS_2023,dio_mcm_episode_0pnjx2h,dio_19r0,1,0.007937,0.616074,0.364024,0.244414,0.819056,0.232168,0.012233,1,1
NEG_STRESS_2023,dio_mcm_episode_0q7j4gf,dio_0n1g,1,0.007937,0.625353,0.429566,0.233189,0.789338,0.228621,0.230362,1,1
NEG_STRESS_2023,dio_mcm_episode_05w7301,dio_06cm,1,0.007937,0.620453,0.375834,0.239772,0.856724,0.056275,0.169484,1,1
NEG_STRESS_2023,dio_mcm_episode_1a2487z,dio_0cie,1,0.007937,0.628094,0.359060,0.227601,0.878164,0.103484,0.004627,1,1
NEG_STRESS_2023,dio_mcm_episode_014ph8b,dio_1eb4,1,0.007937,0.618354,0.359273,0.234118,0.833998,0.166960,0.075710,1,1
NEG_STRESS_2023,dio_mcm_episode_02xikfk,dio_1l31,1,0.007937,0.618601,0.366301,0.246468,0.843157,0.070362,0.198975,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0uy8,1,0.007937,0.613871,0.396455,0.246332,0.775266,0.259669,0.184226,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1yzd,1,0.007937,0.613171,0.347084,0.237178,0.825588,0.194748,0.064419,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1etw,1,0.007937,0.626355,0.360021,0.235621,0.880486,0.074276,0.050370,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_04ki,1,0.007937,0.619818,0.353552,0.229214,0.846422,0.190784,0.020774,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0wli,1,0.007937,0.639623,0.436274,0.220019,0.846811,0.183817,0.082132,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0jaj,1,0.007937,0.608639,0.353424,0.238011,0.802769,0.011994,0.305324,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0qnf,1,0.007937,0.611209,0.372432,0.271710,0.841767,0.065433,0.181213,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1vvh,1,0.007937,0.610962,0.352756,0.234557,0.807352,0.228787,0.065372,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_08nr,1,0.007937,0.616029,0.373168,0.233238,0.812739,0.002427,0.304521,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0gn0,1,0.007937,0.620254,0.362944,0.221785,0.827896,0.167536,0.107567,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_19hf,1,0.007937,0.616307,0.350251,0.227546,0.825065,0.196407,0.054617,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_15ul,1,0.007937,0.615453,0.354039,0.237613,0.832073,0.233245,0.008047,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0wpw,1,0.007937,0.638739,0.386139,0.220097,0.901216,0.057579,0.012289,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_08b3,1,0.007937,0.609955,0.352029,0.248075,0.820570,0.154336,0.136662,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0f4a,1,0.007937,0.620169,0.362007,0.229443,0.841781,0.008614,0.191741,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1fjo,1,0.007937,0.619942,0.366560,0.221300,0.829155,0.212887,0.037731,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0m8u,1,0.007937,0.623472,0.396623,0.251688,0.843686,0.038154,0.251712,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_15rg,1,0.007937,0.612581,0.350652,0.254008,0.835625,0.138226,0.091606,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1tjm,1,0.007937,0.603752,0.343553,0.249653,0.789320,0.176060,0.201469,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_146l,1,0.007937,0.614031,0.395760,0.255941,0.773181,0.290150,0.102276,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0h3s,1,0.007937,0.593195,0.361167,0.279062,0.749427,0.332894,0.153103,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1lz5,1,0.007937,0.613158,0.370315,0.253743,0.823350,0.162102,0.125378,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_16us,1,0.007937,0.620936,0.366501,0.235881,0.845170,0.162982,0.050412,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1jmz,1,0.007937,0.617924,0.349786,0.229422,0.836210,0.205629,0.026282,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0ncu,1,0.007937,0.602819,0.386353,0.269969,0.755416,0.234319,0.280782,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_10mg,1,0.007937,0.616251,0.376094,0.249968,0.814953,0.193751,0.102703,1,1
NEG_STRESS_2023,dio_mcm_episode_0rt4pw4,dio_0enr,1,0.007937,0.630125,0.408840,0.238328,0.853194,0.014616,0.204437,1,1
NEG_STRESS_2023,dio_mcm_episode_1tzi2la,dio_011q,1,0.007937,0.627030,0.372095,0.221189,0.857677,0.075153,0.134376,1,1
NEG_STRESS_2023,dio_mcm_episode_04e9yp5,dio_0vp4,1,0.007937,0.612127,0.359442,0.234780,0.795358,0.190303,0.178386,1,1
NEG_STRESS_2023,dio_mcm_episode_1y00xwb,dio_17il,1,0.007937,0.631973,0.383763,0.232738,0.879221,0.077844,0.050153,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_15m6,1,0.007937,0.638570,0.417042,0.220670,0.840775,0.098636,0.180680,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_02ct,1,0.007937,0.619301,0.356271,0.227732,0.835809,0.217522,0.019822,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_17o1,1,0.007937,0.627041,0.396037,0.221044,0.824984,0.263903,0.010492,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0j83,1,0.007937,0.612529,0.370357,0.237248,0.799204,0.252977,0.118535,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_13po,1,0.007937,0.622258,0.391337,0.257855,0.852844,0.048034,0.192458,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1eug,1,0.007937,0.591502,0.332289,0.278590,0.780253,0.282497,0.124835,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1tdy,1,0.007937,0.618402,0.388663,0.232800,0.809931,0.289575,0.003580,1,1
