world,feature,fixed_state,relative_state,state_change,fixed_p95_abs,relative_p95_abs,fixed_saturation_ratio,relative_saturation_ratio,fixed_flat_ratio,relative_flat_ratio,fixed_mean_abs,relative_mean_abs
SOL_2023_5M_REAL1,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.8606975013930185,0.5506444937915156,0.043,0.005,0.091,0.091,0.26239355328486536,0.18545421717614743
SOL_2023_5M_REAL1,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5994432597478867,0.317,0.001,0.337,0.078,0.4898333333333333,0.2614985774140603
SOL_2023_5M_REAL1,sehen.form_change,grenznah,tragbar,grenznah->tragbar,1.0,0.5510427187677281,0.058,0.004,0.059,0.098,0.30557100202091697,0.18031788317113542
SOL_2023_5M_REAL1,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.5593457515334201,0.5274087608848104,0.011,0.002,0.075,0.061,0.2125296124056316,0.2128781697623482
SOL_2023_5M_REAL1,hoeren.energy_shift,grenznah,tragbar,grenznah->tragbar,1.0,0.5511280285381464,0.062,0.001,0.212,0.213,0.35271143820959877,0.21631312233776737
SOL_2023_5M_REAL1,fuehlen.mcm_coherence,tragbar,tragbar,tragbar->tragbar,0.6964075203621365,0.7611451085274406,0.007,0.0,0.033,0.002,0.2954977396981087,0.41992158532375046
SOL_2023_5M_REAL1,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.5963025891769975,0.44177527411342965,0.002,0.001,0.004,0.005,0.24835908991335542,0.19745416287384768
SOL_2023_5M_REAL1,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.5170282202381206,0.3309901333222815,0.005,0.001,0.083,0.121,0.17819648131145943,0.11490816330082909
SOL_2024_5M_REAL1,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.8370617159919711,0.5510470368123329,0.033,0.005,0.046,0.066,0.28926272948334364,0.20743881937996606
SOL_2024_5M_REAL1,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.6230206373451883,0.467,0.003,0.484,0.045,0.4915,0.26441868108243755
SOL_2024_5M_REAL1,sehen.form_change,grenznah,tragbar,grenznah->tragbar,0.991012915566763,0.550910788443052,0.054,0.005,0.044,0.066,0.3397556462795561,0.21154286389308213
SOL_2024_5M_REAL1,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.49083933400480484,0.5078094871846534,0.006,0.0,0.079,0.068,0.19179810453437587,0.2086261965591911
SOL_2024_5M_REAL1,hoeren.energy_shift,grenznah,tragbar,grenznah->tragbar,1.0,0.5511087907528337,0.069,0.0,0.024,0.054,0.4001686943798063,0.22672615423191617
SOL_2024_5M_REAL1,fuehlen.mcm_coherence,grenznah,tragbar,grenznah->tragbar,0.9649758673398546,0.7768815857613469,0.029,0.0,0.006,0.001,0.3794689229628609,0.41264532169628626
SOL_2024_5M_REAL1,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.5711830482457295,0.44611223607399075,0.003,0.0,0.001,0.002,0.2564064536921712,0.2109778167057598
SOL_2024_5M_REAL1,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.5120096228809374,0.31791353822911855,0.001,0.0,0.075,0.112,0.1905700355183496,0.12057073528414664
SOL_2024_1H_2K,sehen.form_flow,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5510271593996602,0.319,0.0,0.0185,0.0695,0.6137900807249138,0.1997535218318258
SOL_2024_1H_2K,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.6147969682390101,0.5005,0.0,0.487,0.046,0.5066666666666667,0.2487194742340837
SOL_2024_1H_2K,sehen.form_change,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5509205421720508,0.4185,0.0,0.019,0.08,0.6760743764786331,0.1982439725392816
SOL_2024_1H_2K,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.5211844107936539,0.5194248874469064,0.0055,0.0,0.0575,0.0465,0.20534275769027147,0.21613974891183518
SOL_2024_1H_2K,hoeren.energy_shift,grenznah,tragbar,grenznah->tragbar,1.0,0.5509851929432166,0.074,0.0,0.0385,0.062,0.3780843288038126,0.21262188360541545
SOL_2024_1H_2K,fuehlen.mcm_coherence,grenznah,tragbar,grenznah->tragbar,0.9472256280315703,0.7657861756951545,0.02,0.0,0.0015,0.0015,0.360853697836478,0.40229244421854254
SOL_2024_1H_2K,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.7645189311299778,0.43706198710941746,0.0045,0.0,0.0005,0.001,0.4522076923709591,0.2065671325933509
SOL_2024_1H_2K,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.8458035427259054,0.33257883309648917,0.012,0.0,0.0315,0.127,0.36875735529628967,0.11791525337581145
BTC_2024_5M_2K,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.3513692770151185,0.5509960205253336,0.003,0.003,0.1265,0.072,0.11708396504206504,0.1909826035107977
BTC_2024_5M_2K,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.599701075252003,0.5,0.0015,0.4975,0.039,0.5011666666666666,0.24921933735614502
BTC_2024_5M_2K,sehen.form_change,tragbar,tragbar,tragbar->tragbar,0.44325473210758176,0.5511188171135996,0.007,0.0035,0.111,0.083,0.1470752321622371,0.19125711327260134
BTC_2024_5M_2K,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.5518985171813524,0.5036467784315533,0.0085,0.0,0.0595,0.058,0.20803039066769372,0.20159843139133976
BTC_2024_5M_2K,hoeren.energy_shift,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.551042444179774,0.11,0.0,0.026,0.064,0.44840151726142063,0.21599817325139048
BTC_2024_5M_2K,fuehlen.mcm_coherence,grenznah,tragbar,grenznah->tragbar,0.948589848246964,0.7589246957638746,0.02,0.0,0.0005,0.001,0.36327802597660813,0.40660988064476333
BTC_2024_5M_2K,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.37431466844247524,0.4182990394194482,0.0005,0.0,0.0045,0.0015,0.16008006654405663,0.19764875531141388
BTC_2024_5M_2K,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.2992532230403815,0.3244937950184574,0.0,0.0,0.1235,0.1355,0.11441666298435711,0.1127697830063842
BTC_2024_1H_2K,sehen.form_flow,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5511160960151548,0.109,0.0,0.038,0.1035,0.37543661008627227,0.17384882661746873
BTC_2024_1H_2K,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5771717213158162,0.5035,0.0,0.496,0.037,0.5036666666666667,0.24966442441889014
BTC_2024_1H_2K,sehen.form_change,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.5509681981416037,0.1415,0.0,0.0305,0.0785,0.44985577285318484,0.1866541729749106
BTC_2024_1H_2K,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.5953755494076838,0.5329187622157452,0.011,0.0,0.055,0.055,0.21763118543511395,0.20645815338027326
BTC_2024_1H_2K,hoeren.energy_shift,grenznah,tragbar,grenznah->tragbar,1.0,0.5510359361365711,0.09,0.0,0.0345,0.0655,0.40025795137811915,0.21420433909605843
BTC_2024_1H_2K,fuehlen.mcm_coherence,grenznah,tragbar,grenznah->tragbar,0.9386414165921274,0.7532541795318666,0.018,0.0,0.0005,0.001,0.3575940893400581,0.40401345489949747
BTC_2024_1H_2K,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.7022979258795788,0.4363798493025945,0.007,0.0,0.001,0.001,0.32106539777549176,0.1923397284857414
BTC_2024_1H_2K,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.7010196936715082,0.33493596509263923,0.009,0.0,0.0685,0.1685,0.23507687633622856,0.10363945090891917
SOL_2023_NEG_STRESS,sehen.form_flow,tragbar,tragbar,tragbar->tragbar,0.48185311021497407,0.5503563180725217,0.014,0.002,0.064,0.064,0.164118811822082,0.19526094570607921
SOL_2023_NEG_STRESS,sehen.form_stability,uebersteuert,tragbar,uebersteuert->tragbar,1.0,0.6334762672642289,0.363,0.002,0.333,0.04,0.515,0.26960147569675486
