world,pair,event_tick,before_class,switch_class,after_class,pressure_delta,rekopplung_delta
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,199,rekoppelnde_lage,druck_lage,rekoppelnde_lage,-0.002367,-0.015429
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,755,rekoppelnde_lage,druck_lage,druck_lage,0.034498,0.008915
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1690,rekoppelnde_lage,offene_lage,rekoppelnde_lage,-0.021529,0.008580
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1718,rekoppelnde_lage,druck_lage,druck_lage,0.105740,-0.020311
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2133,rekoppelnde_lage,druck_lage,offene_lage,-0.065858,-0.027921
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2145,offene_lage,offene_lage,rekoppelnde_lage,-0.009900,-0.004840
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2273,rekoppelnde_lage,bewegungsbruch,rekoppelnde_lage,-0.121344,0.055314
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2276,rekoppelnde_lage,druck_lage,rekoppelnde_lage,0.117876,-0.053389
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2293,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.000939,0.011737
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2296,rekoppelnde_lage,druck_lage,rekoppelnde_lage,0.025747,-0.009750
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2307,bewegungsbruch,bewegungsbruch,bewegungsbruch,-0.008661,0.017559
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2327,rekoppelnde_lage,druck_lage,gehaltene_form,0.120428,-0.028376
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2532,druck_lage,bewegungsbruch,offene_lage,-0.104839,0.043351
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2568,rekoppelnde_lage,druck_lage,bewegungsbruch,0.063638,-0.021126
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2582,rekoppelnde_lage,druck_lage,bewegungsbruch,0.050263,-0.025488
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2597,rekoppelnde_lage,gehaltene_form,rekoppelnde_lage,0.047343,-0.004193
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2627,offene_lage,offene_lage,rekoppelnde_lage,-0.063948,0.030549
LONG2024_15M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2689,druck_lage,rekoppelnde_lage,rekoppelnde_lage,-0.097147,0.036602
