source;group;regulation_rows;regulation_events;axis_rows;axis_total_count;top_inner_effect;top_inner_effect_count;dominant_need;dominant_need_name;dominant_need_trace_count;strongest_carried;strongest_carried_name;strongest_carried_net;pressure_nearest;pressure_nearest_name;pressure_nearest_score;hearing_net;focus_net;distance_net;contact_relief_net;selected_hearing_ratio;selected_focus_ratio;selected_distance_ratio;selected_distance_minus_focus;hoeren_hin_count;hoeren_hin_strain;sehen_fokus_count;sehen_fokus_strain;sehen_abstand_count;sehen_abstand_strain;fuehlen_abstand_count;fuehlen_abstand_strain;feldinput_count;feldinput_strain
BTC2025_5M_GESAMT;basis;141;1994;141;1994;inner_effect_stable;1634;distance_pull;Abstand bilden;39;stable_listening_pull;ruhig hinhoeren;0.46754471187122737;contact_relief_pull;Druck / Feldkontakt entlasten;0.27207737666666665;0.46754471187122737;0.4015150284023669;0.2609794563432836;0.23013275071428574;0.238716148445336;0.24573721163490472;0.3550651955867603;0.10932798395185558;476;0.13477503151260503;490;0.14182886734693878;428;0.16973659112149533;56;0.23114341071428574;224;0.20388004910714286
BTC2025_1H_GESAMT;basis;187;1994;187;1994;inner_effect_stable;1656;distance_pull;Abstand bilden;72;stable_listening_pull;ruhig hinhoeren;0.465079904978355;contact_relief_pull;Druck / Feldkontakt entlasten;0.28450097076023395;0.465079904978355;0.41090746575342463;0.2766142857142857;0.20168589999999997;0.2642928786359077;0.2412236710130391;0.31193580742226684;0.07071213640922774;527;0.1340758557874763;481;0.13955609771309774;381;0.1705960288713911;56;0.23271255357142856;185;0.2140787135135135
BTC2025_5M_QUIET_4K;gegenwelt;193;3994;193;3994;inner_effect_stable;3360;distance_pull;Abstand bilden;58;stable_listening_pull;ruhig hinhoeren;0.4775816389853748;contact_relief_pull;Druck / Feldkontakt entlasten;0.2690650650966183;0.4775816389853748;0.41615239693877554;0.2937408052681992;0.24131485736714975;0.242864296444667;0.2371056584877316;0.3535302954431648;0.11642463695543318;970;0.13131600824742268;947;0.13909051847940865;875;0.16505832228571427;107;0.2244402429906542;430;0.19777844186046512
BTC2025_5M_STRESS_4K;gegenwelt;262;3994;262;3994;inner_effect_stable;3294;distance_pull;Abstand bilden;97;stable_listening_pull;ruhig hinhoeren;0.4758368998633879;contact_relief_pull;Druck / Feldkontakt entlasten;0.27567933066361555;0.4758368998633879;0.4146829183185841;0.29393010588768115;0.22783134530892452;0.2496244366549825;0.24061091637456183;0.33725588382573857;0.09664496745117673;997;0.13305035105315946;961;0.14009395317377732;813;0.1691187220172202;84;0.2335342380952381;450;0.20240321555555554
