world,feature,mean,mean_abs,p50_abs,p95_abs,p99_abs,saturation_ratio,flat_ratio,feature_state
SOL_2023_5M_REAL1,sehen.form_flow,0.041405177846309545,0.26239355328486536,0.1705030284128703,0.8606975013930185,1.0,0.043,0.091,tragbar
SOL_2023_5M_REAL1,sehen.form_stability,-0.3088333333333333,0.4898333333333333,0.5,1.0,1.0,0.317,0.337,uebersteuert
SOL_2023_5M_REAL1,sehen.form_change,0.0022367271530308345,0.30557100202091697,0.22277986044565595,1.0,1.0,0.058,0.059,nahe_saettigung
SOL_2023_5M_REAL1,hoeren.energy_tone,-0.004523129446297434,0.2125296124056316,0.18213640518237012,0.5593457515334201,0.988937381119739,0.011,0.075,tragbar
SOL_2023_5M_REAL1,hoeren.energy_shift,-0.00564687634948237,0.35271143820959877,0.312499999999941,1.0,1.0,0.062,0.212,nahe_saettigung
SOL_2023_5M_REAL1,mcm_feldwirkung.mcm_coherence,0.3857514536418359,0.39335065244291184,0.3922502925819861,0.7091837700070396,0.8671449397142912,0.0,0.012,tragbar
SOL_2023_5M_REAL1,mcm_feldwirkung.mcm_tension,0.30115615294354015,0.30115615294354015,0.27915833230684683,0.5562404067327459,0.6518281606333346,0.0,0.001,tragbar
SOL_2023_5M_REAL1,mcm_feldwirkung.mcm_asymmetry,0.01508813760389689,0.16323388200887856,0.11786566925131625,0.44220881266727025,0.8082578522225813,0.002,0.079,tragbar
SOL_2024_5M_REAL1,sehen.form_flow,0.0004942008996132884,0.28926272948334364,0.22584599997248994,0.8370617159919711,1.0,0.033,0.046,tragbar
SOL_2024_5M_REAL1,sehen.form_stability,-0.2375,0.4915,0.5,1.0,1.0,0.467,0.484,uebersteuert
SOL_2024_5M_REAL1,sehen.form_change,-0.003446963819611239,0.3397556462795561,0.2669669699636554,0.991012915566763,1.0,0.054,0.044,nahe_saettigung
SOL_2024_5M_REAL1,hoeren.energy_tone,0.002959848191178323,0.19179810453437587,0.15923924695190686,0.49083933400480484,0.8422359565350909,0.006,0.079,tragbar
SOL_2024_5M_REAL1,hoeren.energy_shift,0.00026809990326466683,0.4001686943798063,0.34823096078024607,1.0,1.0,0.069,0.024,nahe_saettigung
