source;dominant_suggestion;display_name;passive_reading;source_count;trace_count;total_events;avg_recoupling_balance;avg_strain_quality;avg_carry_quality;avg_field_intake_pressure;field_support_score;field_pressure_score;support_minus_pressure
BTC2024_1H_QUIET_REGULATIONSVORSCHLAG;contact_relief_pull;Druck / Feldkontakt entlasten;eher_getragen;1;1;421;0.393781;0.203922;0.463957;0.255568;0.4936374;0.28492495;0.20871245
BTC2024_1H_QUIET_REGULATIONSVORSCHLAG;distance_pull;Abstand bilden;eher_getragen;1;1;116;0.345815;0.227727;0.434591;0.243848;0.4605661;0.2981441;0.16242199999999996
BTC2024_1H_QUIET_REGULATIONSVORSCHLAG;focus_pull;Fokus halten / vertiefen;eher_getragen;1;2;1172;0.4998700870307168;0.16509494880546077;0.5236070989761092;0.12182119624573379;0.5795124093003413;0.19804069240614336;0.38147171689419795
BTC2024_1H_QUIET_REGULATIONSVORSCHLAG;sharpening_pull;Sehen schaerfen;eher_getragen;1;1;914;0.547846;0.140148;0.536846;0.10259000000000001;0.610153;0.17192570000000001;0.43822729999999993
BTC2024_1H_QUIET_REGULATIONSVORSCHLAG;softening_pull;leiser / weicher aufnehmen;eher_getragen;1;1;352;0.457748;0.178606;0.49933600000000006;0.19094500000000003;0.5437991;0.2380885;0.30571059999999994
BTC2024_1H_QUIET_REGULATIONSVORSCHLAG;stable_listening_pull;ruhig hinhoeren;eher_getragen;1;1;1019;0.572146;0.134111;0.554777;0.061428;0.6320837499999999;0.14909925;0.48298449999999993
BTC2024_1H_STRESS_REGULATIONSVORSCHLAG;contact_relief_pull;Druck / Feldkontakt entlasten;eher_getragen;1;1;408;0.389511;0.20563499999999998;0.46042199999999994;0.256414;0.49022275;0.2866747;0.20354804999999998
BTC2024_1H_STRESS_REGULATIONSVORSCHLAG;distance_pull;Abstand bilden;eher_getragen;1;1;127;0.346648;0.227387;0.434543;0.243027;0.46104025;0.29753775;0.1635025
BTC2024_1H_STRESS_REGULATIONSVORSCHLAG;focus_pull;Fokus halten / vertiefen;eher_getragen;1;2;1144;0.4988937692307692;0.16567830769230768;0.5237016730769231;0.12208509615384618;0.5790214413461539;0.19855521153846153;0.3804662298076923
BTC2024_1H_STRESS_REGULATIONSVORSCHLAG;sharpening_pull;Sehen schaerfen;eher_getragen;1;1;928;0.546825;0.140053;0.533487;0.102625;0.6085239;0.1720501;0.4364738
BTC2024_1H_STRESS_REGULATIONSVORSCHLAG;softening_pull;leiser / weicher aufnehmen;eher_getragen;1;1;346;0.457214;0.178974;0.500677;0.191494;0.54393645;0.23855379999999998;0.30538265000000003
BTC2024_1H_STRESS_REGULATIONSVORSCHLAG;stable_listening_pull;ruhig hinhoeren;eher_getragen;1;1;1041;0.570539;0.13498;0.554721;0.061884;0.6312085;0.14991375;0.48129474999999994
