world,tick,symbol_family,transition,current_rekopplung,future8_rekopplung,delta_rekopplung,current_strain,future8_strain,delta_strain,current_carry,future8_carry,delta_carry,current_sensory_coupling,future8_sensory_coupling,delta_sensory_coupling,future_center_count,future_open_count,future_edge_count
KAS_2024_5M_2K,9,dio_02pm,rekoppelt_zentrum,0.615689,0.64663675,0.03094774999999994,0.20228,0.17476725,-0.027512749999999975,0.340199,0.390768375,0.05056937500000003,0.796285,0.8651265,0.0688415,6,2,0
KAS_2024_5M_2K,10,dio_16h9,rekoppelt_zentrum,0.650289,0.6478805,-0.0024085000000000356,0.220999,0.16707975,-0.05391925,0.437206,0.387775,-0.049431,0.88949,0.8655245,-0.023965499999999973,7,1,0
KAS_2024_5M_2K,17,dio_12ts,rekoppelt_zentrum,0.616706,0.652283,0.03557699999999997,0.209692,0.178126625,-0.03156537499999998,0.339124,0.412831875,0.07370787500000003,0.807619,0.872881,0.06526200000000004,7,1,0
KAS_2024_5M_2K,24,dio_0oxm,rekoppelt_zentrum,0.612308,0.6487477500000001,0.036439750000000104,0.237467,0.15932137500000002,-0.078145625,0.357075,0.38208912500000003,0.025014125000000054,0.797399,0.871015875,0.07361687500000003,7,1,0
KAS_2024_5M_2K,31,dio_1s28,rekoppelt_zentrum,0.624121,0.635474125,0.011353124999999964,0.223113,0.224782125,0.0016691249999999935,0.372581,0.4075135,0.03493249999999998,0.826163,0.8510513749999999,0.024888374999999963,5,1,2
KAS_2024_5M_2K,34,dio_0m1z,rekoppelt_zentrum,0.628895,0.641887875,0.012992875000000015,0.230957,0.212159625,-0.018797375000000005,0.402874,0.413139,0.010264999999999969,0.834515,0.86144875,0.02693374999999998,7,0,1
KAS_2024_5M_2K,66,dio_14xo,rekoppelt_zentrum,0.632325,0.650544125,0.018219125000000003,0.229464,0.169775,-0.05968899999999999,0.409895,0.39604,-0.013855000000000006,0.823203,0.873906875,0.050703874999999954,8,0,0
KAS_2024_5M_2K,103,dio_0y54,rekoppelt_zentrum,0.631757,0.64488875,0.013131749999999998,0.229348,0.188641875,-0.04070612500000001,0.405565,0.399442,-0.0061229999999999896,0.831525,0.858200625,0.02667562500000009,7,0,1
KAS_2024_5M_2K,112,dio_00go,rekoppelt_zentrum,0.616848,0.653141625,0.036293624999999996,0.214515,0.16791275,-0.04660225000000001,0.347106,0.40039725000000004,0.05329125000000001,0.808238,0.879594,0.07135599999999998,8,0,0
KAS_2024_5M_2K,125,dio_0f2y,rekoppelt_zentrum,0.610446,0.647822875,0.037376874999999976,0.242226,0.174834125,-0.06739187499999999,0.361244,0.39236075,0.03111674999999997,0.782729,0.86796025,0.08523124999999998,7,1,0
