pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,rekoppelnd_offen,12,0.400000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,druckuebergang,5,0.166667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,druckbruch,4,0.133333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,offen_rekoppelnd,3,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,bruchuebergang,2,0.066667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,rekoppelnd_stabil,2,0.066667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,bruchdominant,1,0.033333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_QUIET_4000,gemischt,1,0.033333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_STRESS_4000,druckuebergang,6,0.500000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_STRESS_4000,rekoppelnd_stabil,4,0.333333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_BTC_STRESS_4000,rekoppelnd_offen,2,0.166667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,druckbruch,5,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,druckuebergang,5,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,rekoppelnd_stabil,3,0.150000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,bruchuebergang,3,0.150000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,rekoppelnd_offen,2,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,offen_rekoppelnd,1,0.050000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_QUIET_4000,bruchdominant,1,0.050000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_STRESS_4000,bruchuebergang,3,0.600000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_15M_SOL_STRESS_4000,rekoppelnd_stabil,2,0.400000
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_BTC_QUIET_4000,rekoppelnd_stabil,18,0.545455
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_BTC_QUIET_4000,rekoppelnd_offen,13,0.393939
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_BTC_QUIET_4000,bruchuebergang,2,0.060606
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_BTC_STRESS_4000,rekoppelnd_stabil,8,0.500000
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_BTC_STRESS_4000,rekoppelnd_offen,7,0.437500
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_BTC_STRESS_4000,druckbruch,1,0.062500
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_QUIET_4000,rekoppelnd_stabil,11,0.611111
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_QUIET_4000,rekoppelnd_offen,4,0.222222
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_QUIET_4000,bruchuebergang,1,0.055556
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_QUIET_4000,gemischt,1,0.055556
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_QUIET_4000,druckuebergang,1,0.055556
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_STRESS_4000,rekoppelnd_stabil,3,0.428571
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_STRESS_4000,bruchuebergang,2,0.285714
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_STRESS_4000,rekoppelnd_offen,1,0.142857
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_15M_SOL_STRESS_4000,druckbruch,1,0.142857
