pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,rekoppelnd_stabil,5,0.208333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,bruchuebergang,5,0.208333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,rekoppelnd_offen,4,0.166667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,druckuebergang,3,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,offen_rekoppelnd,3,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,druckbruch,3,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_QUIET_4000,bruchdominant,1,0.041667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,bruchuebergang,3,0.187500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,druckuebergang,3,0.187500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,druckbruch,3,0.187500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,bruchdominant,2,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,rekoppelnd_stabil,2,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,rekoppelnd_offen,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,gemischt,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_BTC_STRESS_4000,offen_rekoppelnd,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_QUIET_4000,rekoppelnd_stabil,5,0.263158
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_QUIET_4000,rekoppelnd_offen,5,0.263158
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_QUIET_4000,druckbruch,4,0.210526
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_QUIET_4000,bruchuebergang,2,0.105263
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_QUIET_4000,offen_rekoppelnd,2,0.105263
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_QUIET_4000,bruchdominant,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_STRESS_4000,rekoppelnd_offen,2,0.400000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_STRESS_4000,rekoppelnd_stabil,1,0.200000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_STRESS_4000,bruchuebergang,1,0.200000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2024_5M_SOL_STRESS_4000,druckuebergang,1,0.200000
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_QUIET_4000,rekoppelnd_offen,12,0.413793
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_QUIET_4000,rekoppelnd_stabil,11,0.379310
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_QUIET_4000,bruchuebergang,6,0.206897
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_STRESS_4000,rekoppelnd_stabil,12,0.631579
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_STRESS_4000,bruchuebergang,3,0.157895
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_STRESS_4000,rekoppelnd_offen,2,0.105263
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_STRESS_4000,offen_rekoppelnd,1,0.052632
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_BTC_STRESS_4000,druckbruch,1,0.052632
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_SOL_QUIET_4000,rekoppelnd_stabil,13,0.590909
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_SOL_QUIET_4000,rekoppelnd_offen,6,0.272727
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_SOL_QUIET_4000,bruchuebergang,2,0.090909
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_SOL_QUIET_4000,offen_rekoppelnd,1,0.045455
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_SOL_STRESS_4000,rekoppelnd_stabil,4,0.571429
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2024_5M_SOL_STRESS_4000,rekoppelnd_offen,3,0.428571
