world,role,count,share,avg_sehen_form_flow,avg_sehen_form_stability,avg_sehen_form_change,avg_hoeren_energy_tone,avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry,avg_mcm_visual_field_gap,avg_mcm_hearing_field_gap,avg_mcm_rekopplung_quality,avg_mcm_carry_quality,avg_mcm_strain_quality,avg_mcm_sensory_coupling,avg_mini_afterimage,avg_episode_binding_pressure,avg_episode_release_pressure,visual_load,hearing_load,field_load,recoupling_support,dominant_axis,axis_spread
KAS_2024_5M_2K,offene_variante,314,0.15747241725175526,0.030616232484076435,0.18823883439490446,-0.016261815286624202,0.13355519108280253,0.060664063694267516,0.45726318471337574,0.3325177484076433,0.033009222929936306,0.10171476433121018,0.1366988025477707,0.6264288343949045,0.39209880573248407,0.2376730222929936,0.8387390063694269,0.00010136624203821655,0.0,1.0,0.30271424407643316,0.10825746866242038,0.19026037394904458,0.6806129968152868,sehen,0.1944567754140128
KAS_2024_5M_2K,spannungsrand_kippnaehe,84,0.04212637913741224,-0.013088464285714288,0.34094597619047623,-0.06578944047619047,0.47209738095238096,0.39880466666666664,0.4689119523809524,0.535073011904762,0.0872189761904762,0.17448230952380953,0.17466814285714286,0.6012641666666666,0.3854887261904762,0.31547186904761904,0.8019567380952382,0.0,0.0,1.0,0.2679601271428571,0.35648323238095236,0.29570352976190484,0.6581904333333333,hoeren,0.08852310523809526
KAS_2024_5M_2K,zentrum_stabil,1596,0.8004012036108324,-0.0009152562656641603,0.004521357769423559,0.004112589598997494,-0.05549989912280701,-0.029607681077694233,0.4033363245614035,0.16845905639097744,-0.009239980576441103,0.04916137656641604,0.07272445363408521,0.6510923784461153,0.3976972631578947,0.17019060338345865,0.8728699191729323,0.001097749373433584,0.0,1.0,0.34658862433583965,0.051346066979949874,0.10659264462406016,0.7018373797619047,sehen,0.2952425573558898
KAS_2024_15M_2K,offene_variante,308,0.15446339017051153,0.030192266233766234,0.15808427922077922,-0.016565363636363635,0.09210301298701298,0.04081904220779221,0.4362944415584416,0.3335125649350649,0.02583609090909091,0.10543643506493505,0.13618858116883117,0.6248052824675324,0.3885768961038961,0.23857148701298703,0.835747909090909,0.00018894155844155844,0.0,1.0,0.3134419677922078,0.08686645396103895,0.18988372831168837,0.6783618649350649,sehen,0.22657551383116883
KAS_2024_15M_2K,spannungsrand_kippnaehe,90,0.04513540621865597,-0.0928677,0.28482822222222226,-0.06349793333333333,0.49534015555555555,0.41828050000000006,0.42758003333333333,0.5289019222222222,0.05324435555555555,0.17249863333333335,0.17957166666666666,0.5993468888888889,0.380268,0.31363606666666666,0.7975177999999999,9.083333333333334e-05,0.0,1.0,0.3085506731111111,0.3728681328888889,0.28735935844444443,0.6550476955555555,hoeren,0.08550877444444449
KAS_2024_15M_2K,zentrum_stabil,1596,0.8004012036108324,-0.0010726046365914785,0.00529706328320802,0.005316299498746868,-0.05474575250626567,-0.032243389724310775,0.4041264868421052,0.16660372619047617,-0.00944385776942356,0.049815189223057645,0.07092406829573934,0.6521191315789474,0.39883863847117795,0.16899473245614036,0.873375914160401,0.0010083408521303259,0.0,1.0,0.34674936615288227,0.05149839664160401,0.10566368639097745,0.7026281545739348,sehen,0.29525096951127827
KAS_2024_30M_2K,offene_variante,335,0.16800401203610832,0.04705655223880597,0.15235609253731344,-0.04609210149253731,0.07835526567164179,0.02267130447761194,0.433803247761194,0.33078286268656715,0.022815429850746267,0.10550741791044776,0.14107947462686565,0.6243045373134328,0.38741089552238805,0.23842099104477613,0.8342190507462687,6.170149253731344e-05,0.0,1.0,0.3272079060298508,0.07712630232835821,0.18846992071641794,0.6774697092537313,sehen,0.25008160370149257
KAS_2024_30M_2K,spannungsrand_kippnaehe,85,0.04262788365095286,-0.026841399999999998,0.3554078470588235,-0.027964047058823535,0.48778822352941176,0.38078080000000003,0.4729537176470588,0.5341255647058823,0.08743156470588234,0.1592739176470588,0.1719218705882353,0.6028374000000001,0.38868540000000007,0.3126731176470588,0.8078366588235294,0.0,0.0,1.0,0.2556866437647059,0.3545056451764706,0.2943213665882353,0.6612230376470588,hoeren,0.0988190014117647
KAS_2024_30M_2K,zentrum_stabil,1574,0.7893681043129388,0.006751014612452351,0.00044802033036848743,0.009985683608640406,-0.0457020247776366,-0.02115562579415502,0.40204507433290976,0.16474089008894538,-0.0016921067344345616,0.0503240044472681,0.06962035196950445,0.6518386022871665,0.39808271219822106,0.16873203049555274,0.8733424021601017,0.0014060222363405338,0.0,1.0,0.3511798818678526,0.044040819301143584,0.10356145038119444,0.7023547040025413,sehen,0.30713906256670903
KAS_2024_1H_2K,offene_variante,311,0.1559679037111334,0.054935627009646305,0.15265879421221865,-0.04525576205787781,0.10665709646302252,0.037053401929260446,0.43183160450160774,0.33270797749196146,0.03180860128617363,0.1031370578778135,0.13479790675241157,0.6250269935691318,0.3882827459807074,0.23790955305466235,0.8365827556270096,5.261736334405145e-05,0.0,1.0,0.32877855652733123,0.0900420095176849,0.19045553672025725,0.678642173311897,sehen,0.23873654700964633
