pair,events,worlds,signature_count,top_signature,top_signature_share,pressure_delta,pressure_std,rekopplung_delta,rekopplung_std,drift_label
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,91,4,13,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.637363,0.009655,0.065847,-0.003823,0.026923,wiederkehrend_stabil
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,80,4,36,rekoppelnde_lage->offene_lage->rekoppelnde_lage,0.150000,0.008701,0.071747,-0.005507,0.026145,lokal_offen
