dominant_family,dominant_mcm_episode_preview,count,world_count,rekoppelt_share,offen_share,kippnah_share,avg_pressure,avg_alignment,avg_strain,avg_rekopplung
dio_0bsx,dio_mcm_episode_1t5bcxp,4,3,0.75,0.25,0.0,0.3430925,0.73598925,0.267198,0.602267
dio_124a,dio_mcm_episode_183drjy,4,3,0.75,0.25,0.0,0.33504475,0.7426845,0.26178125,0.60108075
dio_1kbp,dio_mcm_episode_183drjy,4,2,1.0,0.0,0.0,0.40450025,0.6851755,0.2875695,0.5901355
dio_11hp,dio_mcm_episode_1t5bcxp,3,3,0.6666666666666666,0.3333333333333333,0.0,0.33133866666666667,0.6742469999999999,0.22635766666666668,0.6242366666666667
dio_1pj6,dio_mcm_episode_1t5bcxp,3,2,1.0,0.0,0.0,0.36187299999999994,0.7011410000000001,0.2728216666666667,0.6112096666666667
dio_0tsd,dio_mcm_episode_183drjy,3,2,1.0,0.0,0.0,0.3894586666666666,0.6885020000000001,0.2887733333333333,0.5899926666666667
dio_0hly,dio_mcm_episode_183drjy,3,1,1.0,0.0,0.0,0.33112733333333333,0.6658216666666666,0.2559423333333333,0.615832
dio_1siz,dio_mcm_episode_0l5wut9,2,2,1.0,0.0,0.0,0.45511650000000003,0.5564290000000001,0.33552899999999997,0.5604595000000001
dio_0uwn,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.3343075,0.6245275,0.236014,0.616087
dio_0nt3,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.3515485,0.605727,0.22558299999999998,0.636588
dio_09d9,dio_mcm_episode_183drjy,2,2,1.0,0.0,0.0,0.3472065,0.7348295,0.24955349999999998,0.627311
dio_0pxx,dio_mcm_episode_183drjy,2,2,1.0,0.0,0.0,0.3663095,0.6709235,0.29257299999999997,0.585763
dio_1www,dio_mcm_episode_183drjy,2,2,0.5,0.5,0.0,0.42777750000000003,0.6500254999999999,0.299182,0.5929945000000001
dio_0nng,dio_mcm_episode_183drjy,2,2,0.5,0.5,0.0,0.421478,0.7245875,0.284205,0.59369
dio_14b2,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.335723,0.7189255,0.277294,0.601986
dio_0b45,dio_mcm_episode_1t5bcxp,2,2,1.0,0.0,0.0,0.3600915,0.5862025,0.2873555,0.593783
dio_0qzq,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.359769,0.6088685,0.28570850000000003,0.589315
dio_0e6l,dio_mcm_episode_1t5bcxp,2,2,0.5,0.0,0.5,0.3659875,0.7180115,0.28445,0.5852539999999999
dio_11ci,dio_mcm_episode_1t5bcxp,2,2,1.0,0.0,0.0,0.347212,0.6165419999999999,0.243471,0.6112175
dio_0pn6,dio_mcm_episode_183drjy,2,2,0.0,1.0,0.0,0.38342350000000003,0.6879230000000001,0.277135,0.6032295000000001
dio_15bw,dio_mcm_episode_0kby1qc,2,2,1.0,0.0,0.0,0.4760445,0.6767295,0.334669,0.562018
dio_081b,dio_mcm_episode_183drjy,2,2,1.0,0.0,0.0,0.34768600000000005,0.621051,0.2839625,0.595136
dio_1a08,dio_mcm_episode_183drjy,2,2,0.5,0.5,0.0,0.32923500000000006,0.6751785,0.252371,0.6154999999999999
dio_0z4p,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.4039715,0.6266555,0.30955699999999997,0.5827485
dio_1u1e,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.4001445,0.7108855000000001,0.30069250000000003,0.5799455
dio_0cpy,dio_mcm_episode_183drjy,2,2,1.0,0.0,0.0,0.3558395,0.6517485000000001,0.2672375,0.600874
dio_0crd,dio_mcm_episode_1t5bcxp,2,2,1.0,0.0,0.0,0.330001,0.6994425,0.2744405,0.602336
dio_1qpp,dio_mcm_episode_1t5bcxp,2,2,0.5,0.5,0.0,0.34346750000000004,0.7368265,0.2549315,0.6058844999999999
dio_1oz3,dio_mcm_episode_183drjy,2,1,1.0,0.0,0.0,0.418988,0.6953205,0.2808435,0.603578
dio_0iap,dio_mcm_episode_183drjy,2,1,1.0,0.0,0.0,0.30990850000000003,0.7200115,0.2451065,0.61497
dio_1pai,dio_mcm_episode_183drjy,2,1,1.0,0.0,0.0,0.43407850000000003,0.699465,0.282451,0.6057895
dio_1w94,dio_mcm_episode_183drjy,2,1,0.5,0.5,0.0,0.378512,0.6785140000000001,0.2817825,0.596678
dio_1nsi,dio_mcm_episode_1t5bcxp,2,1,0.5,0.5,0.0,0.3652245,0.7398135,0.2572295,0.6082719999999999
dio_12b0,dio_mcm_episode_1t5bcxp,2,1,1.0,0.0,0.0,0.356852,0.67804,0.27249599999999996,0.6021920000000001
dio_013w,dio_mcm_episode_183drjy,2,1,1.0,0.0,0.0,0.410875,0.6665975,0.27062549999999996,0.6119245
dio_017r,dio_mcm_episode_1t5bcxp,2,1,0.5,0.5,0.0,0.40806149999999997,0.589306,0.282323,0.6059515
dio_1hc4,dio_mcm_episode_183drjy,2,1,1.0,0.0,0.0,0.37745850000000003,0.7059755000000001,0.2796955,0.595613
