pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,97,4,7,bruchuebergang,0.288660,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,103,4,7,rekoppelnd_stabil,0.553398,breit_driftend
