pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,EXPANSION_10K,offen_stabil,9,0.310345
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,EXPANSION_10K,druckuebergang,8,0.275862
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,EXPANSION_10K,druckbruch,6,0.206897
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,EXPANSION_10K,bruchuebergang,3,0.103448
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,EXPANSION_10K,offen_rekoppelnd,2,0.068966
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,EXPANSION_10K,bruchdominant,1,0.034483
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,rekoppelnd_offen,9,0.225000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,bruchuebergang,8,0.200000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,offen_rekoppelnd,7,0.175000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,druckuebergang,6,0.150000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,rekoppelnd_stabil,6,0.150000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,bruchdominant,2,0.050000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2023_NEG_10K,druckbruch,2,0.050000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2025_STRESS_5K,rekoppelnd_offen,4,0.444444
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2025_STRESS_5K,bruchuebergang,2,0.222222
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2025_STRESS_5K,rekoppelnd_stabil,1,0.111111
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2025_STRESS_5K,druckuebergang,1,0.111111
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2025_STRESS_5K,bruchdominant,1,0.111111
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,druckbruch,5,0.263158
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,rekoppelnd_offen,4,0.210526
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,rekoppelnd_stabil,3,0.157895
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,bruchuebergang,3,0.157895
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,bruchdominant,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,druckuebergang,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,offen_rekoppelnd,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL2026_STABLE_5K,gemischt,1,0.052632
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,EXPANSION_10K,offen_stabil,30,0.789474
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,EXPANSION_10K,bruchuebergang,4,0.105263
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,EXPANSION_10K,offen_rekoppelnd,3,0.078947
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,EXPANSION_10K,gemischt,1,0.026316
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2023_NEG_10K,rekoppelnd_stabil,29,0.557692
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2023_NEG_10K,rekoppelnd_offen,12,0.230769
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2023_NEG_10K,bruchuebergang,7,0.134615
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2023_NEG_10K,offen_rekoppelnd,2,0.038462
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2023_NEG_10K,druckuebergang,2,0.038462
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2025_STRESS_5K,rekoppelnd_stabil,10,0.769231
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2025_STRESS_5K,rekoppelnd_offen,1,0.076923
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2025_STRESS_5K,bruchdominant,1,0.076923
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL2025_STRESS_5K,offen_rekoppelnd,1,0.076923
