intake_key;axis;inner_effect_state;mcm_preview_symbol;base_quality;probe_quality;comparison_state;base_events;probe_events;base_balance;probe_balance;balance_delta;base_strain;probe_strain;base_fieldinput;probe_fieldinput;fieldinput_delta
feldinput|inner_effect_stable|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_stable;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;316;553;0.448111;0.461255;0.013144000000000045;0.179825;0.176515;0.209469;0.210935;0.0014660000000000228
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;191;289;0.333068;0.351147;0.01807900000000001;0.230262;0.224815;0.289867;0.291252;0.001385000000000025
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;138;160;0.401284;0.415591;0.014307000000000014;0.20422;0.201006;0.212461;0.210631;-0.0018299999999999983
fuehlen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;114;128;0.356394;0.382535;0.026141000000000025;0.223903;0.214645;0.222392;0.218702;-0.003689999999999999
sehen_fokus|inner_effect_stable|dio_mcm_episode_1rxdw4p;sehen_fokus;inner_effect_stable;dio_mcm_episode_1rxdw4p;young_intake_trace;young_intake_trace;quality_reproduced;7;109;0.5544;0.564418;0.010017999999999971;0.133766;0.135306;0.084881;0.097457;0.012576000000000004
hoeren_hin|inner_effect_stable|dio_mcm_episode_1rxdw4p;hoeren_hin;inner_effect_stable;dio_mcm_episode_1rxdw4p;young_intake_trace;young_intake_trace;quality_reproduced;4;96;0.528975;0.581143;0.05216799999999999;0.150324;0.131853;0.069449;0.05837;-0.011078999999999999
sehen_fokus|inner_effect_stable|dio_mcm_episode_1hdpu9s;sehen_fokus;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;78;94;0.555753;0.556886;0.0011329999999999396;0.136148;0.136365;0.092849;0.098526;0.0056770000000000015
hoeren_hin|inner_effect_stable|dio_mcm_episode_1hdpu9s;hoeren_hin;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;90;93;0.571125;0.57589;0.004765000000000019;0.133837;0.132396;0.061637;0.059942;-0.0016949999999999951
hoeren_hin|inner_effect_stable|dio_mcm_episode_1joiyc3;hoeren_hin;inner_effect_stable;dio_mcm_episode_1joiyc3;young_intake_trace;young_intake_trace;quality_reproduced;120;75;0.550011;0.564272;0.014260999999999968;0.138135;0.130057;0.0658;0.058915;-0.006884999999999995
sehen_abstand|inner_effect_stable|dio_mcm_episode_1hdpu9s;sehen_abstand;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;29;55;0.520536;0.522059;0.001523000000000052;0.155628;0.154606;0.111846;0.112147;0.0003009999999999957
