world,pair,event_tick,before_class,switch_class,after_class,pressure_delta,rekopplung_delta
BTC_2024_15M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1193,bewegungsbruch,offene_lage,offene_lage,-0.192936,0.021607
BTC_2024_15M,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1175,offene_lage,offene_lage,offene_lage,-0.060778,-0.005320
BTC_2024_15M,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1195,offene_lage,offene_lage,offene_lage,-0.011854,0.021285
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,446,offene_lage,druck_lage,offene_lage,0.259160,-0.007284
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,535,offene_lage,druck_lage,druck_lage,0.306015,-0.028620
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,729,offene_lage,druck_lage,offene_lage,0.200755,-0.040330
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,736,offene_lage,bewegungsbruch,gehaltene_form,-0.037795,0.005417
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,740,offene_lage,druck_lage,gehaltene_form,0.127729,-0.013280
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,782,offene_lage,bewegungsbruch,bewegungsbruch,-0.117211,0.023606
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1520,offene_lage,druck_lage,druck_lage,0.130838,-0.016514
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1699,offene_lage,bewegungsbruch,bewegungsbruch,-0.053425,0.016879
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1702,bewegungsbruch,offene_lage,offene_lage,-0.079854,0.022989
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1709,druck_lage,offene_lage,offene_lage,-0.048344,0.020517
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1718,offene_lage,druck_lage,offene_lage,0.095110,-0.032728
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1760,offene_lage,offene_lage,offene_lage,-0.012117,0.021558
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1765,offene_lage,druck_lage,gehaltene_form,0.172981,-0.009414
BTC_2024_1H,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1767,druck_lage,druck_lage,druck_lage,-0.124240,0.015624
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,442,offene_lage,offene_lage,offene_lage,0.041219,-0.000257
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,479,offene_lage,offene_lage,offene_lage,0.048418,-0.027384
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,727,offene_lage,offene_lage,offene_lage,0.137751,-0.031091
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,734,offene_lage,offene_lage,druck_lage,0.190614,-0.007293
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,738,bewegungsbruch,offene_lage,offene_lage,0.064645,-0.025709
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,777,offene_lage,offene_lage,offene_lage,0.007948,0.014059
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,791,offene_lage,offene_lage,offene_lage,0.022446,0.022709
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1701,bewegungsbruch,offene_lage,offene_lage,-0.113357,0.027737
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1703,offene_lage,offene_lage,offene_lage,-0.015008,0.008930
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1715,offene_lage,offene_lage,offene_lage,0.026308,0.011810
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1754,offene_lage,offene_lage,offene_lage,0.118320,-0.006269
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1761,offene_lage,offene_lage,offene_lage,-0.052535,0.024093
BTC_2024_1H,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1766,offene_lage,gehaltene_form,druck_lage,-0.044382,0.011664
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,605,offene_lage,druck_lage,offene_lage,0.121854,-0.009964
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,623,offene_lage,offene_lage,offene_lage,0.079783,0.005290
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,672,offene_lage,bewegungsbruch,offene_lage,-0.056255,-0.005822
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,747,offene_lage,offene_lage,offene_lage,0.163680,-0.033244
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,811,offene_lage,offene_lage,offene_lage,0.002319,0.007004
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,849,offene_lage,druck_lage,druck_lage,0.251153,-0.020750
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1043,offene_lage,offene_lage,offene_lage,0.073738,-0.024801
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1378,druck_lage,druck_lage,offene_lage,-0.163003,-0.007742
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1394,offene_lage,druck_lage,offene_lage,0.015050,-0.004832
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1399,offene_lage,offene_lage,offene_lage,-0.013361,-0.011619
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1483,druck_lage,druck_lage,druck_lage,-0.038958,0.007973
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1524,druck_lage,offene_lage,offene_lage,-0.090943,0.026135
BTC_2024_30M,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1526,offene_lage,offene_lage,druck_lage,0.061528,-0.017072
BTC_2024_30M,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,604,offene_lage,offene_lage,druck_lage,0.152055,-0.025500
BTC_2024_30M,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,625,offene_lage,offene_lage,offene_lage,-0.090631,0.010400
