movement_key,seen_count,total_events,total_worlds_observed,dominant_tragart,field_memory_quality,maturity_note,dominant_field_position,dominant_drift_label,avg_top_share,avg_top_signature_share,tragart_profile,field_position_profile,drift_profile,timeframes,assets,years,sources,caution_note
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,46,1655,80,fragmentiert,recurrently_fragmented,cross_source_recurrent,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,lokal_offen,0.319288,0.02878,fragmentiert:35; breit_driftend:7; eng_getragen:3; offen_driftend:1,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage:2; rekoppelnde_lage->offene_lage->rekoppelnde_lage:2; rekoppelnde_lage->druck_lage->bewegungsbruch:2; rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage:2; rekoppelnde_lage->druck_lage->rekoppelnde_lage:1,lokal_offen:9,1h:3; 15m:3; 5m:3,-,2024:3; 2025:3,344_PASSIVE_REGULATIONSQUALITAET_REPRODUKTION.csv:27; 386_JAHRES_ZEITAUFLOESUNGS_MATRIX_GERICHTETE_FELDBEWEGUNG.csv:6; 375_ZEITAUFLOESUNGS_MATRIX_GERICHTETE_FELDBEWEGUNG.csv:3; 344_PASSIVE_REGULATIONSQUALITAET_REPRODUKTION_reproduktion.csv:1; 349_ASSET_ZEIT_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 354_LONG_ASSET_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 359_LONG_ASSET_REPRO_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 364_LONG_ASSET_2025_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 369_LONG_ASSET_2025_15M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 374_LONG_ASSET_2025_5M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 380_LONG_ASSET_2024_15M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 385_LONG_ASSET_2024_5M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 391_KAS_ASSET_GEGENPROBE_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1,passive_not_actionable
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,33,1833,75,eng_getragen,recurrently_carried,cross_source_recurrent,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,wiederkehrend_variabel,0.443066,0.159695,eng_getragen:20; breit_driftend:7; fragmentiert:4; offen_driftend:2,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage:9,wiederkehrend_variabel:5; wiederkehrend_stabil:4,1h:3; 15m:3; 5m:3,-,2024:3; 2025:3,344_PASSIVE_REGULATIONSQUALITAET_REPRODUKTION.csv:14; 386_JAHRES_ZEITAUFLOESUNGS_MATRIX_GERICHTETE_FELDBEWEGUNG.csv:6; 375_ZEITAUFLOESUNGS_MATRIX_GERICHTETE_FELDBEWEGUNG.csv:3; 344_PASSIVE_REGULATIONSQUALITAET_REPRODUKTION_reproduktion.csv:1; 349_ASSET_ZEIT_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 354_LONG_ASSET_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 359_LONG_ASSET_REPRO_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 364_LONG_ASSET_2025_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 369_LONG_ASSET_2025_15M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 374_LONG_ASSET_2025_5M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 380_LONG_ASSET_2024_15M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 385_LONG_ASSET_2024_5M_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1; 391_KAS_ASSET_GEGENPROBE_PASSIVE_REGULATIONSQUALITAET_reproduktion.csv:1,passive_not_actionable
