field_symbol,count,worlds,roles,dominant_role,dominant_effect,dominant_awareness,avg_field_symbol_share,avg_syntax_concentration,avg_rekopplung,avg_relief,avg_kipp_pressure,avg_field_pressure,regulation_reading
dio_mcm_episode_02xikfk,48,"PREVIEW_EXP_2023, PREVIEW_NEG_2023, PREVIEW_REAL_2023","lokal_rekoppelnd:30, lokale_multisensorische_kippnaehe:18",lokal_rekoppelnd (30/48),stabil (38/48),inner_effect_stable (38/48),0.5008,0.2779,0.6303,0.7074,0.1843,0.1956,rekoppelnd_stabilisierend
dio_mcm_episode_1t5bcxp,6,"PREVIEW_EXP_2023, PREVIEW_NEG_2023",lokal_rekoppelnd:6,lokal_rekoppelnd (6/6),stabil (6/6),inner_effect_stable (6/6),0.5333,0.2988,0.6386,0.7140,0.1677,0.1865,rekoppelnd_stabilisierend
dio_mcm_episode_1eik02d,6,"PREVIEW_EXP_2023, PREVIEW_REAL_2023","lokale_multisensorische_kippnaehe:4, lokal_rekoppelnd:2",lokale_multisensorische_kippnaehe (4/6),tragend_unruhig (4/6),inner_effect_carried_unrest (4/6),0.4729,0.2691,0.6285,0.7025,0.1795,0.1951,kippnah_variant
dio_mcm_episode_1r7e52w,4,PREVIEW_REAL_2023,lokal_rekoppelnd:4,lokal_rekoppelnd (4/4),stabil (4/4),inner_effect_stable (4/4),0.3125,0.2533,0.6359,0.7112,0.1664,0.1890,rekoppelnd_stabilisierend
dio_mcm_episode_037i64j,2,PREVIEW_REAL_2023,lokale_multisensorische_kippnaehe:2,lokale_multisensorische_kippnaehe (2/2),tragend_unruhig (2/2),inner_effect_carried_unrest (2/2),0.4625,0.2438,0.6159,0.7009,0.2341,0.2144,tragend_unruhig
dio_mcm_episode_0eje6op,2,PREVIEW_REAL_2023,lokale_multisensorische_kippnaehe:2,lokale_multisensorische_kippnaehe (2/2),tragend_unruhig (2/2),inner_effect_carried_unrest (2/2),0.0875,0.1573,0.6038,0.6859,0.2599,0.2255,tragend_unruhig
dio_mcm_episode_182yyt2,2,PREVIEW_REAL_2023,lokale_multisensorische_kippnaehe:2,lokale_multisensorische_kippnaehe (2/2),tragend_unruhig (2/2),inner_effect_carried_unrest (2/2),0.0875,0.1507,0.6069,0.6900,0.2549,0.2227,tragend_unruhig
dio_mcm_episode_0e9ekzq,2,PREVIEW_REAL_2023,lokale_multisensorische_kippnaehe:2,lokale_multisensorische_kippnaehe (2/2),tragend_unruhig (2/2),inner_effect_carried_unrest (2/2),0.0500,0.1350,0.5960,0.6802,0.2784,0.2345,tragend_unruhig
