pair,worlds,passive_qualities,top_passive_quality,top_share,events,quality_profile
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,4,4,fragmentiert,0.475000,80,fragmentiert:38; breit_driftend:32; eng_getragen:9; offen_driftend:1
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,4,3,eng_getragen,0.637363,91,eng_getragen:58; breit_driftend:23; fragmentiert:10
