asset,timeframe,preview,count,regulation_profile,focus,distance,loudness,quietness,sharpness,blur,pressure,relaxation,rekopplung,strain,contact_alignment,visual_gap,hearing_gap
SOL,5m,dio_mcm_episode_0y50lf3,72,nah_leise_unscharf_entspannend,0.440970,0.092942,0.211139,0.788861,0.433424,0.566576,0.247370,0.780546,0.646396,0.187775,0.883017,0.079715,0.082127
SOL,5m,dio_mcm_episode_183drjy,0,nicht_gesehen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SOL,5m,dio_mcm_episode_1t5bcxp,1692,nah_leise_unscharf_entspannend,0.439101,0.105526,0.211433,0.788567,0.417695,0.582305,0.252153,0.773687,0.645086,0.190935,0.866909,0.090059,0.093428
SOL,1h,dio_mcm_episode_0y50lf3,33,nah_leise_unscharf_entspannend,0.445036,0.108461,0.244311,0.755689,0.443229,0.556771,0.256001,0.773186,0.639930,0.196713,0.876341,0.111382,0.090342
SOL,1h,dio_mcm_episode_183drjy,266,nah_leise_unscharf_entspannend,0.433947,0.091544,0.211660,0.788340,0.446737,0.553263,0.238014,0.789212,0.653048,0.178736,0.893323,0.078860,0.089097
SOL,1h,dio_mcm_episode_1t5bcxp,1443,nah_leise_unscharf_entspannend,0.437863,0.107744,0.208173,0.791827,0.409848,0.590152,0.253412,0.771643,0.643534,0.192071,0.863465,0.090338,0.096357
BTC,5m,dio_mcm_episode_0y50lf3,651,nah_leise_unscharf_entspannend,0.432208,0.101736,0.201383,0.798617,0.427815,0.572185,0.247562,0.775779,0.645645,0.187941,0.869635,0.087230,0.087612
BTC,5m,dio_mcm_episode_183drjy,301,nah_leise_unscharf_entspannend,0.425747,0.093641,0.206176,0.793824,0.449771,0.550229,0.234944,0.788408,0.653115,0.176709,0.888820,0.080627,0.089116
BTC,5m,dio_mcm_episode_1t5bcxp,799,nah_leise_unscharf_entspannend,0.435586,0.101805,0.208096,0.791904,0.421672,0.578328,0.247509,0.777629,0.647614,0.186746,0.872019,0.086793,0.090641
BTC,1h,dio_mcm_episode_0y50lf3,33,nah_leise_unscharf_entspannend,0.428023,0.095954,0.176871,0.823129,0.391635,0.608365,0.244467,0.779178,0.643859,0.186013,0.879689,0.081393,0.086157
BTC,1h,dio_mcm_episode_183drjy,707,nah_leise_unscharf_entspannend,0.429901,0.094753,0.209017,0.790983,0.436051,0.563949,0.238592,0.786206,0.652092,0.179626,0.886151,0.078893,0.091517
BTC,1h,dio_mcm_episode_1t5bcxp,977,nah_leise_unscharf_entspannend,0.434635,0.104406,0.203254,0.796746,0.417205,0.582795,0.248836,0.775599,0.646446,0.188385,0.868735,0.088514,0.093440
KAS,5m,dio_mcm_episode_0y50lf3,695,nah_leise_unscharf_entspannend,0.436809,0.100653,0.221451,0.778549,0.442389,0.557611,0.247469,0.779400,0.645902,0.188403,0.880700,0.085714,0.096944
KAS,5m,dio_mcm_episode_183drjy,0,nicht_gesehen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
KAS,5m,dio_mcm_episode_1t5bcxp,1162,nah_leise_unscharf_entspannend,0.439116,0.108979,0.209661,0.790339,0.413126,0.586874,0.254231,0.770567,0.644700,0.192125,0.859127,0.090553,0.095512
KAS,1h,dio_mcm_episode_0y50lf3,36,nah_leise_unscharf_entspannend,0.449061,0.092833,0.217132,0.782868,0.375246,0.624754,0.252913,0.781480,0.641670,0.191894,0.894664,0.076997,0.096166
KAS,1h,dio_mcm_episode_183drjy,92,nah_leise_unscharf_entspannend,0.430598,0.084906,0.206028,0.793972,0.465957,0.534043,0.235999,0.789635,0.652664,0.177829,0.894070,0.069343,0.079443
KAS,1h,dio_mcm_episode_1t5bcxp,1647,nah_leise_unscharf_entspannend,0.437522,0.105870,0.208535,0.791465,0.412792,0.587208,0.252271,0.772995,0.644277,0.191064,0.865772,0.089027,0.094353
