pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->rekoppelnde_lage,3,3,0.157895,0.012401,-0.007129
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,3,2,0.157895,-0.066418,0.007308
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,offene_lage->rekoppelnde_lage->rekoppelnde_lage,2,1,0.105263,-0.065491,0.026538
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->bewegungsbruch,2,2,0.105263,-0.006485,0.005350
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->rekoppelnde_lage,1,1,0.052632,0.024946,-0.016200
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,offene_lage->rekoppelnde_lage->bewegungsbruch,1,1,0.052632,0.013266,-0.013764
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->offene_lage,1,1,0.052632,-0.003993,0.017699
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->offene_lage,1,1,0.052632,-0.016125,0.013733
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,1,1,0.052632,0.070128,0.000322
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,druck_lage->offene_lage->offene_lage,1,1,0.052632,-0.134329,0.027410
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->druck_lage,1,1,0.052632,0.139036,-0.036102
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,gehaltene_form->rekoppelnde_lage->rekoppelnde_lage,1,1,0.052632,-0.060549,0.015645
dio_mcm_episode_02xikfk->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,1,1,0.052632,0.005757,-0.001646
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,4,3,0.333333,0.028154,-0.010659
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,2,2,0.166667,-0.020607,-0.004410
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->bewegungsbruch,2,2,0.166667,0.032240,-0.023724
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->rekoppelnde_lage,1,1,0.083333,-0.015293,0.020600
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->offene_lage->rekoppelnde_lage,1,1,0.083333,-0.141199,0.007120
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->rekoppelnde_lage,1,1,0.083333,0.050905,-0.036630
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->offene_lage->bewegungsbruch,1,1,0.083333,-0.030912,-0.014033
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,offene_lage->druck_lage->offene_lage,2,2,0.166667,-0.029521,0.000797
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,druck_lage->rekoppelnde_lage->bewegungsbruch,1,1,0.083333,-0.069398,0.015123
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,gehaltene_form->druck_lage->bewegungsbruch,1,1,0.083333,0.064000,-0.003034
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,druck_lage->bewegungsbruch->offene_lage,1,1,0.083333,-0.101316,0.031978
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,druck_lage->offene_lage->bewegungsbruch,1,1,0.083333,-0.101157,-0.001307
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,bewegungsbruch->gehaltene_form->gehaltene_form,1,1,0.083333,-0.023690,0.011407
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,1,1,0.083333,0.016285,0.007786
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,rekoppelnde_lage->druck_lage->bewegungsbruch,1,1,0.083333,0.042125,-0.020402
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,offene_lage->offene_lage->offene_lage,1,1,0.083333,0.066026,0.007950
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,1,1,0.083333,-0.032777,0.011184
dio_mcm_episode_1t5bcxp->dio_mcm_episode_02xikfk,bewegungsbruch->druck_lage->rekoppelnde_lage,1,1,0.083333,-0.045793,0.023393
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,10,4,0.833333,0.022743,-0.002307
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,2,2,0.166667,0.103243,-0.023873
