world,role,count,share,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_abs_return,avg_range,avg_volume_change,direction_change_ratio,avg_local_drift_12,avg_visual_gap,avg_hearing_gap,longest_streak
NEG_STRESS_2023,offene_variante,126,0.126761,0.619344,0.381531,0.239080,0.819237,0.002701,0.004758,1.568321,0.388889,-0.000707,0.159262,0.144315,5
NEG_STRESS_2023,spannungsrand_kippnaehe,30,0.030181,0.577562,0.362348,0.315515,0.703316,0.002734,0.005755,1.670189,0.166667,-0.002239,0.334814,0.276655,4
NEG_STRESS_2023,zentrum_stabil,838,0.843058,0.650255,0.400812,0.179333,0.880521,0.001370,0.002844,0.824829,0.404535,-0.000180,0.072671,0.077075,35
NEG_STRESS_2024,offene_variante,174,0.175050,0.619123,0.381931,0.237584,0.814123,0.002399,0.004485,0.932868,0.356322,-0.000522,0.172551,0.146923,6
NEG_STRESS_2024,spannungsrand_kippnaehe,29,0.029175,0.578449,0.357844,0.309964,0.708205,0.001778,0.003563,0.637406,0.517241,-0.003142,0.352783,0.244586,1
NEG_STRESS_2024,zentrum_stabil,791,0.795775,0.648639,0.400368,0.181448,0.878683,0.001497,0.002954,0.555512,0.510746,-0.000507,0.070982,0.083063,26
