world,open_events,rekoppelt_zentrum_count,rekoppelt_zentrum_share,rekoppelt_zentrum_delta_rec_avg,rekoppelt_zentrum_delta_strain_avg,rekoppelt_zentrum_delta_carry_avg,rekoppelt_zentrum_delta_sensory_avg,bleibt_offen_count,bleibt_offen_share,bleibt_offen_delta_rec_avg,bleibt_offen_delta_strain_avg,bleibt_offen_delta_carry_avg,bleibt_offen_delta_sensory_avg,kippt_rand_count,kippt_rand_share,kippt_rand_delta_rec_avg,kippt_rand_delta_strain_avg,kippt_rand_delta_carry_avg,kippt_rand_delta_sensory_avg,unklar_count,unklar_share,unklar_delta_rec_avg,unklar_delta_strain_avg,unklar_delta_carry_avg,unklar_delta_sensory_avg,keine_folge_count,keine_folge_share,keine_folge_delta_rec_avg,keine_folge_delta_strain_avg,keine_folge_delta_carry_avg,keine_folge_delta_sensory_avg
KAS_2024_5M_2K,313,287,0.9169329073482428,0.016974738240418116,-0.04580978527874564,0.003879360627177701,0.025433075348432057,23,0.07348242811501597,-0.0012248206521739003,-0.005736358695652174,-0.00609854347826088,-0.004908331521739133,3,0.009584664536741214,-0.023396916666666656,0.03682708333333332,-0.036225125000000004,-0.026086458333333378,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KAS_2024_15M_2K,306,275,0.8986928104575164,0.01849696,-0.045866603636363634,0.008190600454545454,0.028167350909090907,25,0.08169934640522876,-0.0013902750000000096,-0.009540709999999999,-0.015634850000000002,-0.001643775000000014,6,0.0196078431372549,-0.018524770833333353,0.042965395833333336,-0.01868970833333335,-0.02686291666666668,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KAS_2024_30M_2K,335,285,0.8507462686567164,0.019318971929824562,-0.0477356100877193,0.008188260087719298,0.03050439912280702,40,0.11940298507462686,0.0017139187499999986,-0.008520331249999999,-0.0023973937499999986,0.0016211250000000067,10,0.029850746268656716,-0.010800587499999991,0.035726474999999994,-0.0009003250000000074,-0.00883609999999998,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KAS_2024_1H_2K,311,289,0.9292604501607717,0.016366470588235295,-0.04529539965397924,0.003206141435986159,0.024218321366782005,20,0.06430868167202572,0.0024503624999999917,-0.014214899999999997,-0.0073355375,0.0029484500000000135,2,0.006430868167202572,-0.03401437499999993,0.04456756250000002,-0.05059287500000001,-0.05763156250000001,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SOL_2024_5M_2K,286,276,0.965034965034965,0.01721913586956522,-0.047716337409420294,0.003976924818840582,0.023262891757246374,8,0.027972027972027972,-0.004367781249999994,-0.0008816562500000048,-0.018870062499999986,-0.005737328125000024,2,0.006993006993006993,-0.0037231875000000025,0.07468949999999999,0.06345287500000002,5.687500000001178e-05,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SOL_2024_15M_2K,297,268,0.9023569023569024,0.015401558302238806,-0.0470173927238806,-0.00028286333955224196,0.02248015718283582,27,0.09090909090909091,0.0002664814814814797,0.0015278703703703702,0.0004554074074074085,0.0016837870370370424,2,0.006734006734006734,-0.040681999999999996,0.083185,-0.053307625,-0.05578812500000002,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SOL_2024_30M_2K,319,294,0.9216300940438872,0.018320309098639454,-0.05275243537414966,0.0018236828231292532,0.024520114795918365,20,0.06269592476489028,-0.0005756812499999875,-0.007181187499999994,-0.004595600000000003,-0.005186268749999995,5,0.01567398119122257,-0.0046777500000000135,0.01251795000000001,0.0010213499999999875,-0.007870374999999985,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SOL_2024_1H_2K,301,273,0.9069767441860465,0.018572054029304026,-0.05055044917582417,0.003556722069597069,0.026546308608058608,25,0.08305647840531562,0.0024484050000000003,-0.0039104,-0.0009349399999999974,0.010708360000000007,3,0.009966777408637873,0.0020799166666666626,0.032676750000000004,0.04254908333333333,0.00587208333333326,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BTC_2024_5M_2K,263,242,0.9201520912547528,0.019265457128099173,-0.05179398966942148,0.005986034090909093,0.028027278925619837,15,0.057034220532319393,-0.002659599999999984,0.0010446833333333312,-0.00659149166666666,-0.012564191666666662,6,0.022813688212927757,-0.029798479166666652,0.09064629166666667,-0.006150625000000011,-0.04786414583333335,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
BTC_2024_15M_2K,222,195,0.8783783783783784,0.02366265641025641,-0.05740955705128205,0.010696187820512822,0.03639424166666666,16,0.07207207207207207,0.004930046875000017,-0.010235343750000004,-0.003014906249999994,0.012999351562499997,11,0.04954954954954955,-0.008687318181818187,0.04759878409090909,0.017456170454545453,-0.007919329545454561,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
